Think Philly would accept Josh Richardson and Tyler Bey for Seth Curry?  That would certainly help.
"Tyler Bey and Jaden McDaniels  Tyler's going to be catching Luka lobs all day once he cracks the rotation, and Jaden is too much of a longboi to fail"
tyler bey coming to crush his dreams
"Why couldn't it be Nate Hinton, Tyrell Terry, and Tyler Bey"
"2020 draft looks sneaky nice so far Wiseman,Lamelo,Ant,Haliburton look good already   Pritchard,Precious,Avidja,Bey,Bane,Williams have been solid and have good upside  and lastly Killian,Stewart,skinny lanky OKC guy,Quickly,Cole Anthony,whoever the spurs draft,Tyler""shooter""Terry are all project guys and I feel like a few might hit"
"I really think both teams won honestly. It's rare but I think it worked out perfectly for both. Mavs needed a 3 and D starter, and 76ers needed a elite 3 point shooter/secondary ball handler.   Mavs get the best shot at resigning Richardson and Seth is locked into a great contract. Plus mavs got a good defensive prospect Tyler Bey."
I wanted Achiuwa or Tyler Bey with our 19th pick. And so far achiuwa is doing really well. Already looking like a steal
How the FO offered him a contract and put Tyler Bey on a two way is beyond me.
tyler bey will outrebound all of your centers bby!
Let's see how Tyler Bey turns out before we judge just yet.
"He actually is 15th in USG% on the team lol idk if that's where OP got ""15th option"" from.  But obviously USG% doesn't account for number of games/minutes played and doesn't have much context at all behind it. For example, this guy Tyler Bey has a higher USG% but has played only 33 minutes this season. USG% also depends on who you share the floor with, since it shows the % of FGA/FTA/TO you have out of the total FGA/FTA/TO your team has when you're on the floor.  In terms of top 10 guys in minutes played, DFS ranks 9th in USG%, ahead of only Kleber."
"That's actually Tyler Cook, a player just signed to a 2nd 10 day contract. Bey threw up an 0/8 because he's a bit streaky at times. He got it back together tonight though. also got racked in the nuts by Deni, but he's okay."
"Speaking of Beys, does anyone know how Tyler Bey (no relation, I'm pretty sure) is doing?"
"For some perspective on just how good NBA guys are compare to college, here is what the roster of the Salt Lake City Stars, a team that is currently 2nd to last in the G-League with a 4-11 record consists of:  Tyler Bey: 1st Team All Pac-12  Trevon Bluiett: Consensus all-American, 1st team all-Big East  Jarrell Brantley: First team all-CAA  Yogi Ferrell: First team all-B1G,   Trent Forrest: 2nd team all-ACC  Romaro Gill: Big East DPOY  Elijah Hughes: 1st team all-ACC  Malcolm Miller: 2nd team all-Patriot League  Trevon Scott: 1st team all-AAC, AAC DPOY  And again, these guys have all improved since they earned these college accolades yet they combined are still the 2nd worst team in the G-League. Now imagine what the best teams in the G-League have. And now imagine what NBA teams have. No college team is coming close to beating an actual NBA team."
Nate Hinton and Tyler Bey.
"Nets lost 1/3 of their roster between the Harden trade, Dinwiddie’s injury, and then Aldridge retired after filling a massive hole.    Brooklyn had 3 empty roster spots mid season to fill and got lucky in the buyout market to a degree or else their roster would be much worse since the only options would be players the NBA didn’t see as roster worthy. Really they just got Griffin since Aldridge retired.    Still barely understand the Bey for Shamet trade. Bey filled a bigger need than Shamet who brought roughly what Tyler Johnson brought to the team. Dude had like 2 great games and the rest is either Eh or a total bust."
Tyler Bey is mad slept on 👀
"we might see tyler bey tonight, boys"
Josh Green and Tyler Bey
"okay since ur spamming this comment lemme just clear it up.   Game 2 atlanta vs dallas  people out for atlanta: D. Hunter, Bogi, Dunn, Rondo  people out for dallas : Tyler Bey, Nate Hinton, Tyrell Terry (all in g league)  Dallas wins by 1 point  game 1: Atl: Hunter Bogi Dunn Onyeka Dal: Tyler and Nate  dallas wins by 6.  &amp;#x200B;  Hawks are just injury depleted and those games dont really mean anything as bogis clearly been the second best player on the hawks since the ASB and hunter was averaging 17 before he got hurt. Dallas just has had the luxury of health. Also hawks had their old, trash coach."
&gt;Remember this was essentially a 1:1 swap.  Everyone sleeping on...(checks notes) Tyler Bey.
We keep:  - Luka - Brunson - DFS - Kleber - Josh Green - I guess KP - Tyler Bey - Bobi ❤️  Obviously we'd want THJ too but he's a free agent
"There have been some high risk high reward plays Marks has made that haven’t panned out like giving offer sheets to Tyler Johnson, Allen Crabbe and Otto Porter Jr. he also got criticized for trading the pick that became Sadie Bey for Landry Shamet but I think he’s done a great job filling out this roster. I also think that if he had known what the June roster would look like he would’ve tried to add another big in addition to Lopez and Clax (not gonna mention DeAndre)"
yea the Mavs are one of the worst drafting teams in basketball   a miracle happened in 2018   Josh Green could be good... he has zero offense to speak of though... Terry was really raw coming into the draft and was dealing with personal issues... Tyler Bey had a great G-League performance but he’s not ready yet
"According to the internet Mavs also got the 36th pick, which was Tyler Bey. Tbh idk who that is"
"&gt; As a side note who was the pick, Tyrell Terry or Tyler Bey?  Tyler Bey. Tyrell Terry is a 2nd round pick from GSW."
Tyler Bey is older than Luka Doncic btw
Tyler Bey
"True but the reason they lost to the Clippers so far has been poor defense both containing the drives and rim protection. Not sure Seth would change that. It was still a massive steal for the sixers though. As a side note who was the pick, Tyrell Terry or Tyler Bey?"
"Mavs only have Luka. Maybe one of Josh Green, Tyrell Terry, or Tyler Bey becomes good, I mean they turn into beasts in 2K and we all know how accurate that is 👀"
"kinda disrespectful to Tyler Bey, but ok."
