(before tonight's games)  Player | FGA | PTS ------------|---|--- Caris LeVert | 120 | 116 Dillon Brooks | 119 | 118 Markelle Fultz | 104 | 103 Kelly Oubre Jr. | 101 | 84 Devonte' Graham | 99 | 80 Bojan Bogdanović | 94 | 94 Cole Anthony | 76 | 69 Gary Harris | 61 | 56 J.J. Redick | 55 | 49 LaMarcus Aldridge | 54 | 50 Tyus Jones | 54 | 50 Al Horford | 53 | 53 Aaron Holiday | 51 | 46 Tyrese Maxey | 49 | 46 Killian Hayes | 47 | 32 Ish Smith | 46 | 42 Aron Baynes | 45 | 37 Michael Carter-Williams | 44 | 36 Juan Hernangómez | 44 | 44 Derrick Jones Jr. | 44 | 42 Sekou Doumbouya | 39 | 38 Markieff Morris | 31 | 31 James Johnson | 29 | 26 Kendrick Nunn | 29 | 26 Jevon Carter | 28 | 22 Grayson Allen | 27 | 25 Brandon Goodwin | 27 | 26 Anfernee Simons | 27 | 26 Dante Exum | 26 | 23 DeMarcus Cousins | 24 | 23 Furkan Korkmaz | 24 | 18 Aleksej Pokusevski | 21 | 5 Mike Scott | 21 | 21 Terance Mann | 20 | 12 Matisse Thybulle | 19 | 18 Frank Kaminsky | 18 | 17 Lamar Stevens | 18 | 18 Kenrich Williams | 18 | 15 Ed Davis | 17 | 13 Jordan McLaughlin | 17 | 16 Chris Chiozza | 16 | 15 Chandler Hutchison | 16 | 13 Dean Wade | 16 | 12 Gary Clark | 15 | 12 Carsen Edwards | 15 | 13 Jerome Robinson | 15 | 15 Marquese Chriss | 14 | 13 Rodney Hood | 14 | 11 Drew Eubanks | 13 | 9 Nicolò Melli | 13 | 11 Amir Coffey | 12 | 12 De'Anthony Melton | 12 | 8 Aaron Nesmith | 12 | 8 Obi Toppin | 12 | 9 Malachi Flynn | 11 | 0 Draymond Green | 11 | 10 Stanley Johnson | 11 | 7 Adam Mokoka | 11 | 8 Georges Niang | 11 | 8 Bruno Caboclo | 10 | 6 Tremont Waters | 10 | 9 Mfiondu Kabengele | 9 | 5 Derrick White | 9 | 9 Josh Hall | 8 | 3 Elijah Hughes | 8 | 8 Kelan Martin | 8 | 2 Reggie Perry | 8 | 7 Robert Woodard | 8 | 6 Tony Bradley | 7 | 4 Kira Lewis Jr. | 7 | 4 Sean McDermott | 7 | 7 Yuta Watanabe | 7 | 6 Keljin Blevins | 6 | 2 Maurice Harkless | 6 | 3 Trey Lyles | 6 | 5 KZ Okpala | 6 | 5 Cody Zeller | 6 | 6 CJ Elleby | 5 | 4 Isaiah Joe | 5 | 2 Saben Lee | 5 | 4 Miye Oni | 5 | 3 Luka Šamanić | 5 | 4 Dennis Smith Jr. | 5 | 4 Jalen Smith | 5 | 4 Tyrell Terry | 5 | 2 Brodric Thomas | 5 | 5 Dylan Windler | 5 | 3 Bol Bol | 4 | 0 Devon Dotson | 4 | 4 Karim Mané | 4 | 2 Garrison Mathews | 4 | 3 Ty-Shon Alexander | 3 | 0 Terrance Ferguson | 3 | 0 Damian Jones | 3 | 2 Rodions Kurucs | 3 | 3 Darius Miller | 3 | 3 Theo Pinson | 3 | 0 Kostas Antetokounmpo | 2 | 0 Mo Bamba | 2 | 0 DeAndre' Bembry | 2 | 2 Vernon Carey Jr. | 2 | 0 R.J. Hampton | 2 | 2 Luke Kornet | 2 | 2 Nico Mannion | 2 | 0 Sindarius Thornwell | 2 | 2 Jaylen Adams | 1 | 0 Vlatko Čančar | 1 | 0 Torrey Craig | 1 | 0 Cristiano Felício | 1 | 0 Willy Hernangómez | 1 | 1 Nate Hinton | 1 | 0 Markus Howard | 1 | 0 Skylar Mays | 1 | 0 Malik Monk | 1 | 1 E'Twaun Moore | 1 | 0 Juwan Morgan | 1 | 0 Zeke Nnaji | 1 | 0 Anžejs Pasečņiks | 1 | 0 Paul Watson | 1 | 0 Keita Bates-Diop | 0 | 0 Deividas Sirvydis | 0 | 0 Edmond Sumner | 0 | 0
Devon Dotson
Honestly I would definitely rather take a team assembled of the top 15 NCAA players than a team of:  Greg Whittington  Anžejs Pasečņiks  Will Magnay  Ashton Hagans  Theo Pinson  Ignas Brazdeikis  Keljin Blevins   Grant Riller  Gary Payton II  Jontay Porter  Malik Fitts  Oshae Brissett  Ray Spalding  Devon Dotson  Ty-Shon Alexander  Jalen Lecque  No coach ever plays all 15 players in a game so you only need the top 8 or 9 college players in the country. I guarantee that theres more than 8 college players in the NCAA who could enter the NBA right now and be better than the worst 15 NBA players.
"All active Leos:  |Name|Birthday|From|Sign| :--|--:|:--|:--| |Dedmon, Dewayne|8/12/1989|Southern California|Leo| |Cousins, DeMarcus|8/13/1990|Kentucky|Leo| |Drummond, Andre|8/10/1993|Connecticut|Leo| |Ayton, Deandre|7/23/1998|Arizona|Leo| |Cauley-Stein, Willie|8/18/1993|Kentucky|Leo| |Marjanovic, Boban|8/15/1988|Serbia|Leo| |Knox, Kevin|8/11/1999|Kentucky|Leo| |Martin, Kelan|8/3/1995|Butler|Leo| |Middleton, Khris|8/12/1991|Texas A&amp;amp;M|Leo| |Gallinari, Danilo|8/8/1988|Italy|Leo| |Okeke, Chuma|8/18/1998|Auburn|Leo| |Smailagic, Alen|8/18/2000|Serbia|Leo| |Kuzma, Kyle|7/24/1995|Utah|Leo| |Kabengele, Mfiondu|8/14/1997|Florida State|Leo| |Fernando, Bruno|8/15/1998|Maryland|Leo| |Bryant, Thomas|7/31/1997|Indiana|Leo| |Bradley, Tony|8/1/1998|North Carolina|Leo| |Porzingis, Kristaps|8/2/1995|Latvia|Leo| |James, Mike|8/18/1990|Lamar|Leo| |Ntilikina, Frank|7/28/1998|France|Leo| |Vildoza, Luca|8/11/1995|Argentina|Leo| |Dotson, Devon|8/2/1999|Kansas|Leo| |Diallo, Hamidou|7/31/1998|Kentucky|Leo| |Hayes, Killian|7/27/2001|France|Leo| |Joseph, Cory|8/20/1991|Texas|Leo| |McGruder, Rodney|7/29/1991|Kansas State|Leo| |Stanley, Cassius|8/18/1999|Duke|Leo| |Forbes, Bryn|7/23/1993|Michigan State|Leo| |Bogdanovic, Bogdan|8/18/1992|Serbia|Leo| |Ball, LaMelo|8/22/2001|SPIRE Academy (OH)|Leo| |Wanamaker, Brad|7/25/1989|Pittsburgh|Leo| |Nunn, Kendrick|8/3/1995|Oakland|Leo| |Rivers, Austin|8/1/1992|Duke|Leo| |Edwards, Anthony|8/5/2001|Georgia|Leo| |Thomas, Matt|8/4/1994|Iowa State|Leo| |Payne, Cameron|8/8/1994|Murray State|Leo| |Guy, Kyle|8/11/1997|Virginia|Leo| |Morant, Ja|8/10/1999|Murray State|Leo| |Mills, Patty|8/11/1988|Saint Mary's|Leo| |Brown, Bruce|8/15/1996|Miami (FL)|Leo| |Korkmaz, Furkan|7/24/1997|Turkey|Leo| |Brown, Troy|7/28/1999|Oregon|Leo| |Green, Javonte|7/23/1993|Radford|Leo| |Toupane, Axel|7/23/1992|France|Leo| |Oni, Miye|8/4/1997|Yale|Leo| |DeRozan, DeMar|8/7/1989|Southern California|Leo| |Gay, Rudy|8/17/1986|Connecticut|Leo|"
Devon Dotson MVP??
Devon Dotson
"Lonzo 26 Zach Lavine 26 Demar Derozan 32 Patrick Williams 20 Nikola Vucivec 30  Bench  Alex Caruso 27 Coby white 21 Troy Brown Jr 22 Derrick Jones Jr 24  Tony Bradley 23  Ayo, marko simmonovic, devon dotson, javonte green"
"I can see the bulls flipping Lauri and Coby White for a big now too. Lotta guards on the roster   (Lonzo Ball, Zach LaVine, DeMar DeRozan, Alex Caruso, Coby White, Ayo Dosunmu, Devon Dotson)"
"He doesn't need more help, Devon Dotson is going to be a star"
Devon Dotson Alize Johnson Matt Thomas Mario Simonovic Troy brown jr
"This is fair; however, I really see Devon Dotson as being kind of a pioneer of a new wave of point guards. I think Jayson should be moved to Chicago in order to bring in Devon Dotson, who can begin a new era of Boston hoops."
