Why did Georgios Kalaitzakis not go no. 1?
And who could forget about Georgios Kalaitzakis and Kessler Edwards legendary battle last night.
Georgios Kalaitzakis just got added to the Bucks SL team too.   Nwora/Mamukelashvili/Kalaitzakis Big 3 will be tough.
We're just waiting on Georgios Kalaitzakis to be cleared by FIBA.  You can tell who's there just to fill out the numbers because they got names like 'Mike Smith' or 'Tyree White'.
"Georgios Kalaitzakis, obviously."
"Georgios Kalaitzakis is a name to watch. Decent size, average athlete, inconsistent shooter, generally just been mediocre everywhere he’s been, already 22.   He does a couple things really well though, you can’t deny he has the same agent as Giannis, it’s hard to argue with this according to my google search. One thing he’s also done well is to be born in Greece (pretty much done this his whole playing career).   He’s coming over this year and I see him contributing right away in the Summer League, he has potential to put up 4 PPG on ~36-38% immediately and then almost with all likelihood go back to Europe and never play in the NBA again."
Giannis Antetokounmpo  Thanasis Antetokounmpo  Mamadi Diakite  Donte Divincenzo  Sandro Mamukrlashvili  And Georgios Kalaitzakis  😂
True that's why I think that Georgios Kalaitzakis has equal chance of being an all star as cade cunningham
Georgios Kalaitzakis- 60th player in the draft this year
Georgios Kalaitzakis vs James Harden  The matchup everyone has been waiting for.
Georgios Kalaitzakis completely wrecked
"But an all-time great trio of names in Georgios Kalaitzakis, Thanasis Antetokounmpo and Sandro Mamukelashvili."
"Note:  It also takes 8 connections to get from Ossie Schectman, the first person to score an NBA basket, to Georgios Kalaitzakis, the 60th pick of this year's draft."
We're actually moving closer to a lineup with:  Pat Connaughton  Thanasis Antetokounmpo  Georgios Kalaitzakis  Giannis Antetokounmpo  Sandro Mamukelashvili  And that doesn't even include Donte DiVincenzo. Has anyone seen this lineup play in its entirety? Have they gotten 4 out of 5 of these guys?
Sandro Mamukelashvili and Georgios Kalaitzakis
"Giannis/Grayson/Hood are all on the injury list for this game, but only as probable.  In seriousness, if those 'probables' don't play, here my attempt at a possible depth chart;  PG: George Hill/Justin Robinson/Thanasis Antetokounmpo  SG: Pat Connaughton/Jordan Nwora  SF: Jordan Nwora/Pat Connaughton/Thanasis Antetokoumpo/Georgios Kalaitzakis  PF: Thanasis Antetokoumpo/Semi Ojeleye/Sandro Mamukelashvili  C: Bobby Portis/Sandro Mamukelashvili"
