  **Thunder @ Nuggets**  [](/OKC) **101 -  119** [](/DEN)  **Box Scores: [NBA](http://www.nba.com/games/20210119/OKCDEN#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/oklahoma-city-thunder-denver-nuggets-2021011907)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Oklahoma City Thunder|31|21|22|27|101| |Denver Nuggets|31|34|32|22|119|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Oklahoma City Thunder|101|36-86|41.9%|14-43|32.6%|15-23|65.2%|9|41|22|15|8|19|4| |Denver Nuggets|119|46-105|43.8%|14-42|33.3%|13-14|92.9%|18|58|29|22|11|14|3|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Oklahoma City Thunder|**20** Luguentz Dort|**9** Isaiah Roby|**7** Shai Gilgeous-Alexander| |Denver Nuggets|**27** Nikola Jokic|**12** Paul Millsap|**6** Will Barton|
"YOU GOING DOWN NUGG BROS, Jokic cant stop ..*checks notes* ...Isaiah Roby."
Isaiah Roby
Isaiah Roby
You saying you don't recognize isaiah roby?
"I was a Mavericks fan since 2000. If you were a fan of the team instead of being a Luka stan, you would see the poor moves management makes that break the team.  &amp;#x200B;  The Rondo trade for one. The Mavs were playing good ball and they broke their Offense for a guy that assist hunts. The team before had the ability to be unselfish on the offense and make hockey assists. They were a 4th seed.  The Odom Trade. This trade should never have been made simply for what he did to JJ Barea.  &amp;#x200B;  Right now the team is based around a Lebron James / James Harden type player who has an usage rate that outpaces his conditioning, surrounded by inconsistent shooters but they expect to live or die by the three. They are 28th in 3pt%.   * If you are going to trade someone, trade for someone who can shoot. Yet they traded a guy in Barnes that can shoot for Justin Jackson. * They drafted Shane Larkin over Giannis.  * They drafted Jalen Brunson, a player who assist hunts, shoots first, a poor defender, and is a black hole on offense over Mitchell Robinson. * They traded Shake Milton to the 76ers while keeping Isaiah Roby even though they had too many SFs at the time, and had Brunson backing Luka up. * They allowed McDermont to leave. * They traded Dennis Smith Jr to the Knicks so Luka can be the main focus on the offense. Yet he doesn't have the conditioning to play Lebron type minutes.  &amp;#x200B;  It's silly and sad. I don't wish to be a Mavs fan. I'm not a fan of that team anymore."
"OKC is pretty easy - SGA, Dort, Bazley, Poku, Maledon, Hill (until he’s traded) and Horford (also until he’s traded)  Next two would probably be Ty Jerome and Isaiah Roby if Horford/Hill are traded and no one comes back worth protecting... and we know Presti would trade those two immediately in those circumstances"
"I anticipated that rebounding would be an issue like it has been throughout the season, but that’s not a stat I want to give up too often as a young team. The execution, the defense, etc, and other things I’m perfectly ok failing, but hustle plays like that I wish we can see more. Can’t let Cole Anthony get an offensive board like that.  I hope to see some different offensive sets. It feels like we rely a bit too much on individual brilliance. It’s early in the season with a new roster so the chemistry might not be there, and that’s completely understandable. However, I do hope to see some cuts and off-ball actions a little more, especially for bouncy young guys like Diallo and Bazley a la Westbrook lobs to Roberson. The offensive felt a little one-dimensional and there are just so many spread pick and rolls and pops you can learn with Diallo, Pokusevski, and Kenrich Williams. As the young guys develop more offensive feels, perhaps we can see some more of that, maybe double screen up top with Bazely sipping to the rim and Horford popping.  A little fortunate regarding Orlando's shooting. Yes, they were missing Fournier but they couldn't hit anything. Definitely got away with that one.  WE HIT OUR FREE THROWS HALLELUJAH, a bit of a regression to the mean after being ranked last in the league coming into the game. Speaking of regression to the mean, I kinda fear that such is going to happen sooner than later to Lu Dort and Mike Muscala’s three-point stroke. Hopefully, they prove me wrong.  Theo Maledon masterclass here. The rook guided an often not-so-good Thunder second unit almost singlehandedly. That sling pass from his left hand to the corner to set up a Diallo three was just too sweet.  Darius Bazley heard me talking trash and proved me dead wrong today. Played hard in every aspect, shot the ball well, another double-double, and played some phenomenal defense. If he continues to do this, he will be one of the best young 3-and-D forward, which is hard to come by nowadays. Player of the game easily.  George Hill continues to be a steady veteran presence who took over for a little bit in the third quarter to help the stagnant offensive. Al Horford made some huge plays at the end to put the game to an end. With the presence of Horford, the rim protection took a noticeable boost as well.  Diallo disasterclass. I don’t want to see this take another step back mid-range jumper again. I am not a fan of him being tasked with running the offense more when we have three point guards - that’s just not gonna be his role in the NBA.  Kenrich Williams is trying his best to give minutes to Justin Jackson.  Pokusevski also had a pretty rough outing, but unlike the other two above, zero worries about him at the moment.   Sad to see Isaiah Roby not get any minutes but it wasn’t really a great matchup for him.   Nonetheless, the Thunder just played solid basketball for 48 minutes and beat a team that is on a roll, given they are missing their best offensive weapon. We competed hard and looked like a completely different team than the one that got blown out by the Pelicans. Hopefully, we find some more consistency and continue to surprise some folks in the league. Thunder up!"
"The guy on the Thunder trying to score, Isaiah Roby, played for the a town near mine in highschool. We played them my last 2 years and he dunked on my prolly 6 times in that span."
If we're talking 2nd rounders who look good: Isaiah Roby.
Isaiah Roby looks like Lil Mosey lmao
I'm pretty sure Isaiah Roby was drawn by Akira Toriyama.
