Armoni Brooks  Ben McLemore  Cameron Oliver  D.J. Wilson  Zhou Qi
"Armoni Brooks crushing 3pm like never done before, and that stud wearing #13, Khyri, is legit. Where tf did all these guards come from?! Lol"
Armoni Brooks is fucking legit
KJ Martin and Armoni Brooks are the future
"3 firsts this year, currently projected to be high lottery, 23 and 24, but that high lottery could become late first if we don't get a top 4 pick.  A heap of future picks and swaps  Cap space  A young core of Wood, KPJ, KJ Martin and JaeSean Tate  And I feel we have some promising players in Khyri Thomas and Armoni Brooks  Honestly I think our future looks good all things considered, especially if we get a top 4 pick. We're in a good place to make some moves in a few years to acquire another all star, and we have a lot of chances to hopefully acquire some good young talent through the draft. I think the Rockets hate is overblown right now in this sub."
"Scared of Kyrie, KJ Martin and Armoni Brooks"
Khris Middleton   Danuel House    Alex Caruso    DeAndre Jordan     Timelord     Hakeem     Clyde Drexler    Armoni Brooks    Nate Hinton    Damyean Dotson     Gerald Green      DeAroon Fox    Jimmy Butler     Justice Winslow
"Rockets future is somewhat underrated.  KPJ, Armoni Brooks, Wood, Tate and KJ Martin are all guys 25 or younger.  Not to mention their absolute haul of picks from Blazers/Nets/Wizards/Pistons/Bucks  If they somehow manage to keep their pick, it’s all up"
Not as good as Armoni Brooks!
"Jordan Clarkson, Beno Udrih, that motherfucker Dillon Brooks, Aaron Brooks, Armoni Brooks...  Basically, if your last name is Brooks, you torch Portland."
"3 years ago, the Rockets had a really good offense and an elite defense. Now...they have Armoni Brooks"
Armoni Brooks
Armoni Brooks doesn't have a Wikipedia page.
"lol I have unfortunately watched the whole ass game and im mystified why hes playing so passive... the Rockets tallest player is 6'6'' and we are currently running an 8 man roster of Anthony Lamb, Jeffries, KJ Martin, House, Khyri Thomas, Jae'Sean Tate, and Armoni Brooks. Y'all should be up 30 and Gobert should easily have a 20/20 game..."
"i remember this, armoni brooks is going for 50"
playing armoni brooks 42mins deserves a fine. blatantly tanking
  **Jazz @ Rockets**  [](/UTA) **112 -  89** [](/HOU)  **Box Scores: [NBA](http://www.nba.com/games/20210421/UTAHOU#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/utah-jazz-houston-rockets-2021042110)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Utah Jazz|34|27|30|21|112| |Houston Rockets|27|16|20|26|89|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Utah Jazz|112|41-90|45.6%|17-46|37.0%|13-16|81.2%|9|61|27|16|7|12|4| |Houston Rockets|89|35-99|35.4%|10-49|20.4%|9-17|52.9%|12|50|17|21|7|11|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Utah Jazz|**22** Jordan Clarkson|**18** Rudy Gobert|**13** Mike Conley| |Houston Rockets|**21** John Wall|**10** Armoni Brooks|**6** John Wall|
"Yes, godlike defense is the only thing that could stop (checks notes) DeQuan Jeffries and Armoni Brooks."
if kpj really out might as well have cougar legend armoni brooks run point tonight lol theres like a 90% chance we lose by double digits so it wont even matter
#Armoni Brooks!
#ArmOni Brooks!
Lmao Armoni Brooks like power
Quick like ArmOni Brooks!
Learned that from ArmOni Brooks!
ArmOni Brooks-lite
should armoni brooks be in the rookie of the year convo for playing for the local nba team?
Armoni Brooks and Kenrich Williams
"Saying the Nets package is “god awful” when most of the draft assets convey after 2023 is insane. We literally know how much the NBA changes in just 2 years.  I’m not saying it was a fantastic deal by any means but  you’re doing too much. We must be watching two different Ben Simmons.   Simmons ain’t a scrub at all but he is not the generational franchise cornerstone you think he is  Its better to bottom out, then be a team stuck as a 10-13th seed for the duration of Simmons contract. He’s not getting flipped for a haul, so let’s kill that idea.  You’re also rate Maxey and Thybulle extremely high as well.  Thybulle is an elite defender but is closer to Tony Allen/Roberson than a PG type. I mean he averages 4 PPG.   Rockets have already found great talent this year dirt cheap between KJ Martin, Armoni Brooks, Tate and KPJ.   Gonna go on a limb and say I trust Rockets scouting department to get players like Maxey/Thybulle."
KJ Martin  Armoni Brooks  Lamelo  Edward’s  Bey   Stewart  Tyrese H  Bane
1. Wood 2. KPJ 3. Tate 4. KJ Martin 5. Khyri Thomas 6. Armoni Brooks 7. Sterling Brown 8. Kelly Olynyk
