Jimmy Butler  Bam Adebayo  Duncan Robinson  Max Strus  Omer Yurtseven  Gabe Vincent
Omer Yurtseven could develop into an All-Star. His work ethic and drive is better than people realize.
Omer Yurtseven for the Heat. Been balling in summer league and has the length and shot to be a good stretch
"I think we had to include something to incentivize the Raptors to sign and trade.  Plus, I 100% believe Omer Yurtseven would've ended up taking Precious's minutes if both were on the roster (another dude ballin in summer league...averaging 25 &amp; 13 with 2.6 blocks per game)."
You must not know about Omer Yurtseven
"The others years didn't really matter but this year  1. Oladipo is out most of the season 2. guys like Gabe Vincent, Max Struss, Kz Okpala, Omer Yurtseven are projects/unplayable 3. Miami actually is opting not to use the 15th spot to stay under the luxury tax leaving them with only 14 spots  including UD thats 6 unplayable pieces right there leaving only a (playable) 8 man rotation for the season. This team went through tons of injuries and if you include the possibility of covid protocols thats a very short rotation to go through a season. On top of that they need decent a backup PG and SF. So some heat fans are angry that instead of being able to sign one of these veterans that are still on the market that can be a rotational piece they are giving the spot to UD when he could just stay on the bench in some coach type role."
"This summer league has me in love with Max Strus and Omer Yurtseven.  But in six months I will probably want to trade them both for a stick of gum and an Arby's coupon, and I don't go to Arby's."
"Hawks signed Johnny Hamilton as 15th man..  Couldve retained Nathan Knight (who is genuinely awesome) snagged Omer Yurtseven, or pursued Paul Millsap/Isaiah Hartenstein  Dare I say it but this was Travis Schlenk's only misstep this offseason"
https://bleacherreport.com/articles/2640303-omer-yurtseven-scores-91-points-in-turkish-u-18-basketball-game  https://www.si.com/college/2016/05/15/omer-yurtseven-recruiting-fenerbahce-91-point-game  It was in a u-18 game for Fener
"Who the fook is Omer Yurtseven, and why was he signed ahead of Dennis Schroder?"
Omer Yurtseven is winning ROY
Omer Yurtseven is gonna be on offensive menace off the bench for the ~~Heat~~ Bulldogs.
"Heat is also deep especially if Dipo is healthy.   PG: Lowry, Oladipo, Vincent  SG: Duncan, Herro, Strus  SF: Butler, Okpala, (best SL player)  PF: Tucker, Morris, UD  C: Bam, Dedmon, Omer Yurtseven"
Omer Yurtseven
Omer Yurtseven
"yea for sure, we all gas up our young guys. right now omer yurtseven deserves the max"
I remember when he was really hyped up after [scoring 91 points in a U18 game](https://bleacherreport.com/articles/2640303-omer-yurtseven-scores-91-points-in-turkish-u-18-basketball-game) years ago. But then haven't really heard anything about him until now
"We have Lowry, Robsinson, Herro, and Strus. They can all shoot the 3. Although at less volume, Markieff can still shoot and our young center Omer Yurtseven can shoot. If you know Erik Spolestra, then you know we're going to have multiple starting lineups this season. Jimmy and Bam still have good midrange shooting and can drive to the rim, so they'll still attract bodies and leave someone open."
