Yeah D.j Wilson
D.J. Wilson shooting form is hilarious.
"My original assessment of who we wouldn't be able to sign was actually more optimistic than reality.  Because instead of having both the larger non-taxpayer MLE (used to sign both Forbes and Augustine) and the Bi-annual Exception (used to sign Portis), we'd only have the smaller taxpayer MLE, and no bi-annual exception.  Meaning we'd likely only end up signing someone like Augustin, considering at that point we wouldn't really have a true PG on the roster, and no playmaker/ball-handler on the bench at all.  So you'd rather have Bogdan + Augustin, instead of Donte + Portis + Forbes + Augustine?  Rolling into the season with D.J. Wilson (or someone potentially even worse on a vet min) as our primary backup big to both Giannis and Brook?  (And with even less flexibility for the future than we have right now?)  Because that's the actual choice, not just Bogdan vs. Donte.  I'd say that would be pretty terrible."
Armoni Brooks  Ben McLemore  Cameron Oliver  D.J. Wilson  Zhou Qi
don't underestimate D.J Wilson. Nevermind our boy is gone :(
  **Rockets @ Nuggets**  [](/HOU) **116 -  129** [](/DEN)  **Box Scores: [NBA](http://www.nba.com/games/20210424/HOUDEN#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/houston-rockets-denver-nuggets-2021042407)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Houston Rockets|26|24|32|34|116| |Denver Nuggets|36|36|30|27|129|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Houston Rockets|116|41-82|50.0%|15-40|37.5%|19-28|67.9%|6|35|27|16|10|15|1| |Denver Nuggets|129|50-84|59.5%|16-37|43.2%|13-16|81.2%|1|36|36|22|8|14|8|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Houston Rockets|**25** D.J. Wilson|**8** D.J. Wilson|**11** Kelly Olynyk| |Denver Nuggets|**39** Michael Porter Jr.|**8** Nikola Jokic|**13** Facundo Campazzo|
Giannis and who?   Brogdon literally was favor to his agent. They had no intention of drafting him. They didn't care about the 46 pick so they just used if for a favor for an agent. One reason Brogdon was never really happy with the organization and wanted to leave.  Norman powell not our pick. kevin porter jr. also not our pick.  Thon Maker major miss. Rashad Vaughn miss. D.J. Wilson miss. Jabari Parker major miss.   Donte was a solid pick at 17.  Our contracts in the early Giannis area were more terrible however.
We needed to give up D.J. Wilson to get the nice freckles from P.J. though; had to be done. Definitely not behind Houston though; Houston is very middle-of-the-road imo.
"If they still had D.J. Wilson, no other team would even come close in looks. Unfortunately the Bucks are behind Houston now."
"A bunch of Michigan guys have been rocking the short shorts for a while, starting with D.J. Wilson I think. From a [2016 MLive.com story](https://www.mlive.com/wolverines/2016/11/dj_wilson_and_his_short_shorts.html):    “During a recent meeting with the ‘Maize Rage,’ Michigan basketball's student section, head coach John Beilein opened things up for questions.  The first response?  What's up with D.J. Wilson's shorts?  ‘There were 100 of them there, and I said “any questions?” And it was “what about D.J.'s shorts, they're awfully short?”’ Beilein said with a laugh. ‘A young co-ed asked me and I said I didn't have an answer. I'll have to get back to them.’”    I’m pretty sure Poole has been rocking the short-shorts since high school, so I’m not suggesting that he was following Wilson’s lead, but it’s been a bit of a trend at Michigan (the irony of this, given the Fab Five’s influence on the long-shorts trend, has not gone unnoticed)."
"lmao you couldn't even enjoy the championship before a month before getting all sour lmfao.  there was zero chance you would have been able to trade for jrue if you weren't seen as contenders. he picked his spot just like everyone else did.  &gt; D.J. Augustin, forward D.J. Wilson, and the Bucks first round pick in 2023  WOW THE FUCKING HOUSE"
