The same way Saben Lee dropped to the 38th pick in the draft
That would be Saben Lee!
Thus begins the NBA legend of [Saben Lee](https://www.basketball-reference.com/players/l/leesa01.html)
"Just looked it up, and it turns out that Saben Lee will be the runner up for MIP in 2024 for the Nets. Book it."
(before tonight's games)  Player | FGA | PTS ------------|---|--- Caris LeVert | 120 | 116 Dillon Brooks | 119 | 118 Markelle Fultz | 104 | 103 Kelly Oubre Jr. | 101 | 84 Devonte' Graham | 99 | 80 Bojan Bogdanović | 94 | 94 Cole Anthony | 76 | 69 Gary Harris | 61 | 56 J.J. Redick | 55 | 49 LaMarcus Aldridge | 54 | 50 Tyus Jones | 54 | 50 Al Horford | 53 | 53 Aaron Holiday | 51 | 46 Tyrese Maxey | 49 | 46 Killian Hayes | 47 | 32 Ish Smith | 46 | 42 Aron Baynes | 45 | 37 Michael Carter-Williams | 44 | 36 Juan Hernangómez | 44 | 44 Derrick Jones Jr. | 44 | 42 Sekou Doumbouya | 39 | 38 Markieff Morris | 31 | 31 James Johnson | 29 | 26 Kendrick Nunn | 29 | 26 Jevon Carter | 28 | 22 Grayson Allen | 27 | 25 Brandon Goodwin | 27 | 26 Anfernee Simons | 27 | 26 Dante Exum | 26 | 23 DeMarcus Cousins | 24 | 23 Furkan Korkmaz | 24 | 18 Aleksej Pokusevski | 21 | 5 Mike Scott | 21 | 21 Terance Mann | 20 | 12 Matisse Thybulle | 19 | 18 Frank Kaminsky | 18 | 17 Lamar Stevens | 18 | 18 Kenrich Williams | 18 | 15 Ed Davis | 17 | 13 Jordan McLaughlin | 17 | 16 Chris Chiozza | 16 | 15 Chandler Hutchison | 16 | 13 Dean Wade | 16 | 12 Gary Clark | 15 | 12 Carsen Edwards | 15 | 13 Jerome Robinson | 15 | 15 Marquese Chriss | 14 | 13 Rodney Hood | 14 | 11 Drew Eubanks | 13 | 9 Nicolò Melli | 13 | 11 Amir Coffey | 12 | 12 De'Anthony Melton | 12 | 8 Aaron Nesmith | 12 | 8 Obi Toppin | 12 | 9 Malachi Flynn | 11 | 0 Draymond Green | 11 | 10 Stanley Johnson | 11 | 7 Adam Mokoka | 11 | 8 Georges Niang | 11 | 8 Bruno Caboclo | 10 | 6 Tremont Waters | 10 | 9 Mfiondu Kabengele | 9 | 5 Derrick White | 9 | 9 Josh Hall | 8 | 3 Elijah Hughes | 8 | 8 Kelan Martin | 8 | 2 Reggie Perry | 8 | 7 Robert Woodard | 8 | 6 Tony Bradley | 7 | 4 Kira Lewis Jr. | 7 | 4 Sean McDermott | 7 | 7 Yuta Watanabe | 7 | 6 Keljin Blevins | 6 | 2 Maurice Harkless | 6 | 3 Trey Lyles | 6 | 5 KZ Okpala | 6 | 5 Cody Zeller | 6 | 6 CJ Elleby | 5 | 4 Isaiah Joe | 5 | 2 Saben Lee | 5 | 4 Miye Oni | 5 | 3 Luka Šamanić | 5 | 4 Dennis Smith Jr. | 5 | 4 Jalen Smith | 5 | 4 Tyrell Terry | 5 | 2 Brodric Thomas | 5 | 5 Dylan Windler | 5 | 3 Bol Bol | 4 | 0 Devon Dotson | 4 | 4 Karim Mané | 4 | 2 Garrison Mathews | 4 | 3 Ty-Shon Alexander | 3 | 0 Terrance Ferguson | 3 | 0 Damian Jones | 3 | 2 Rodions Kurucs | 3 | 3 Darius Miller | 3 | 3 Theo Pinson | 3 | 0 Kostas Antetokounmpo | 2 | 0 Mo Bamba | 2 | 0 DeAndre' Bembry | 2 | 2 Vernon Carey Jr. | 2 | 0 R.J. Hampton | 2 | 2 Luke Kornet | 2 | 2 Nico Mannion | 2 | 0 Sindarius Thornwell | 2 | 2 Jaylen Adams | 1 | 0 Vlatko Čančar | 1 | 0 Torrey Craig | 1 | 0 Cristiano Felício | 1 | 0 Willy Hernangómez | 1 | 1 Nate Hinton | 1 | 0 Markus Howard | 1 | 0 Skylar Mays | 1 | 0 Malik Monk | 1 | 1 E'Twaun Moore | 1 | 0 Juwan Morgan | 1 | 0 Zeke Nnaji | 1 | 0 Anžejs Pasečņiks | 1 | 0 Paul Watson | 1 | 0 Keita Bates-Diop | 0 | 0 Deividas Sirvydis | 0 | 0 Edmond Sumner | 0 | 0
Cory Joseph  I know we’re tanking but he very much did cost us a win. That and he’s taking a lot of minutes when we got Saben Lee who’s just earned more minutes with how well he’s played
"This is a bit off the beaten path, but 2nd round pick Saben Lee has actually looked like he will carve out a long NBA career as a solid backup PG in the mold of Ish Smith.  His stats are nothing phenomenal, but he has a feel for the game and tenacity in getting into the paint/defending that is really impressive."
Cory Joseph and Saben Lee
"Eh, it’s not rude to say that about a team that basically nobody other than devoted fans keeps track of. Well, for one Saddiq Bey is easily one of the top-5 rookies in this year’s draft class and is arguably the second best three point shooter in it after Haliburton, so that’s something pretty much every Pistons fan is excited about. Isaiah Stewart has been pretty exciting to watch for us as well because of his defensive-minded and aggressive style of play, which is pretty much the definition of Pistons basketball, he also shown flashes of outside shooting which would make him a really nice building block moving forward, oh and he’s 19 years old so he’ll have plenty of time to develop here. Hayes doesn’t look like much just yet, but he’s also nineteen, is already a decent playmaker, has good size and plenty of potential. We also have a bunch of young players who have a good chance to help the team in long term, like Diallo, Saben Lee and Josh Jackson(who is a Detroit native and has been playing his heart out for us) and a bunch of cheap guys that we took a flyer on who try their best to prove their worth as NBA players(DSJ, Cook, Okafor, also Josh Jackson is in this category as well), never mind Grant proving himself as an All-Star candidate level of player. Also for the first time since 2003 we have a good chance of getting a high pick in the next draft which already looks quite promising. Obviously it’s not the same as having Sexland and Allen as far as young cores and concerned, but Garland and Sexton weren’t exactly spectacular their first year either, were they? So yeah, for the first time in forever Pistons have a clear direction and a definitive young group of players to build with and it’s quite nice to watch for the franchise that’s been suffering through mediocrity for the last 13 years. We’re in a rebuild right now, but I’d argue watching this team has been the most fun I’ve had as a Pistons fan since what feels like forever."
"Saddiq bey, Isaiah Stewart, and saben lee. Killians been injured but he’s shown flashes of being a great defender and excellent passer. Not to mention whoever we take in the upcoming draft."
  **Pistons @ Nuggets**  [](/DET) **119 -  134** [](/DEN)  **Box Scores: [NBA](http://www.nba.com/games/20210406/DETDEN#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/detroit-pistons-denver-nuggets-2021040607)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Detroit Pistons|32|24|30|33|119| |Denver Nuggets|39|37|33|25|134|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Detroit Pistons|119|44-81|54.3%|15-35|42.9%|16-20|80.0%|7|30|27|12|4|13|2| |Denver Nuggets|134|56-94|59.6%|14-31|45.2%|8-9|88.9%|13|44|36|20|7|10|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Detroit Pistons|**29** Jerami Grant|**8** Isaiah Stewart|**7** Saben Lee| |Denver Nuggets|**27** Nikola Jokic|**8** Nikola Jokic|**11** Nikola Jokic|
