 Jae'Sean Tate
1) christian wood  2) john wall  3) victor oladipo  4) eric gordon  5) PJ tucker danuel house demarcus cousins sterling brown jae'sean tate ben mclemore david nwaba mason jones kenyon 'kj' martin jr brodric thomas kevin porter jr.   6) dante exum  7) not rodions kurucs
Im Sorry?  The desrespect to Jae'Sean Tate is unmeasurable
It's neck and neck between him and Jae'Sean Tate.
  **Rockets @ Pelicans**  [](/HOU) **126 -  112** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20210130/HOUNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/houston-rockets-new-orleans-pelicans-2021013003)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Houston Rockets|27|48|24|27|126| |New Orleans Pelicans|35|22|27|28|112|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Houston Rockets|126|45-92|48.9%|20-46|43.5%|16-20|80.0%|7|45|32|24|8|14|5| |New Orleans Pelicans|112|41-91|45.1%|12-41|29.3%|18-29|62.1%|10|48|27|14|11|14|7|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Houston Rockets|**27** Christian Wood|**9** Jae'Sean Tate|**9** John Wall| |New Orleans Pelicans|**26** Zion Williamson|**8** Lonzo Ball|**5** Eric Bledsoe|
Christian Wood for Most Improved and Jae'Sean Tate for All-Rookie 1st Team let's goooo....    And maybe Silas for Coach of the Year
"They were 3rd string guys who played some second string minutes because of injury. Mason Jones and Jae'Sean Tate look like they could start on Tuesday, and Kenyon Martin Jr would arguably be the most exciting rookie we've had since Sam Dekker if if weren't for the two in front of him."
"Team: Rockets  Rookie: Jae'Sean Tate  How have they looked?: Pretty good so far, could definitely be our starting SF for years to come.   Rookie: Mason Jones  How have they looked?: also pretty good, shooting well and putting up some good stats, could be our next starting SG for years or a good 6th man   Rookie: Kenyon Martin Jr.  How have they looked?: meh   Rookie: Brodric Thomas  How have they looked?: BAD, everytime he's on the court is horrible"
"They should unless injuries somehow get worse than they already have been.  They've emerged looking good from the toughest part of their schedule with about a third to half of their team out on basically every given night.  OP didn't even list Eric Gordon, Danuel House, Jae'Sean Tate, David Nwaba and Sterling Brown who have all proven to be very solid depth pieces... Plus, BOOGIEEE!"
  **Rockets @ Spurs**  [](/HOU) **91 -  103** [](/SAS)  **Box Scores: [NBA](http://www.nba.com/games/20210116/HOUSAS#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/houston-rockets-san-antonio-spurs-2021011624)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Houston Rockets|30|23|19|19|91| |San Antonio Spurs|21|29|25|28|103|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Houston Rockets|91|31-84|36.9%|12-32|37.5%|17-27|63.0%|12|51|20|20|6|22|9| |San Antonio Spurs|103|40-100|40.0%|5-24|20.8%|18-23|78.3%|17|58|19|21|10|12|7|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Houston Rockets|**24** Christian Wood|**18** Christian Wood|**5** Jae'Sean Tate| |San Antonio Spurs|**24** DeMar DeRozan|**11** Jakob Poeltl|**4** DeMar DeRozan|
"Stolen from u/dhighway61:  The year is 2023. The Rockets have just come off a deflating loss in the WCF.  Wood averaged 30/12 throughout the playoff run. Sterling Brown put up a career playoff high of 54 in game 7, but it wasn't quite enough, as they lose in overtime. Jae'Sean Tate led all playoff players in triple doubles.   Your phone goes off. It's a twitter notification. Shams reports that the Rockets have signed James Harden to a veteran's minimum deal. He's coming back.  He brings his championship experience to the locker room and the court. The Rockets go 74-8 en route to a 4-4-4-4 sweep in the playoffs.   Never underestimate the heart of a champion."
"Good thing we got Christian ""Mini AD"" Wood and Jae'sean ""Mini Draymond"" Tate."
  **Rockets @ Spurs**  [](/HOU) **109 -  105** [](/SAS)  **Box Scores: [NBA](http://www.nba.com/games/20210114/HOUSAS#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/houston-rockets-san-antonio-spurs-2021011424)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Houston Rockets|30|18|27|34|109| |San Antonio Spurs|27|18|34|26|105|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Houston Rockets|109|42-86|48.8%|13-33|39.4%|12-19|63.2%|10|49|25|16|6|18|6| |San Antonio Spurs|105|42-92|45.7%|9-31|29.0%|12-16|75.0%|10|41|26|17|10|10|4|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Houston Rockets|**27** Christian Wood|**15** Christian Wood|**10** Jae'Sean Tate| |San Antonio Spurs|**29** Keldon Johnson|**8** Dejounte Murray|**7** DeMar DeRozan|
"Tillman is beside himself, begging Stephen Silas (thru texts) to bench Christian Wood, Jae'Sean Tate, and Sterling Brown next game."
"Jae'Sean ""Jayson Tatum"" Tate"
"i think its hilarious u kids talking shit about jae'sean tate. u wouldnt say this shit to him at lan, hes jacked. not only that but he wears the freshest clothes, eats at the chillest restaurants and hangs out with the hottest dudes. yall are pathetic lol"
"Brooklyn who? The real super team is Christian Wood, Jae'Sean Tate, and Sterling Brown."
"Brooklyn who? The real Big 3 is Christian Wood, Jae'Sean Tate, and Sterling Brown."
How could anyone throw a ball at Jae'Sean Tate
"Guys, I think Jae'Sean Tate might drive left."
"Christian Wood, Jae'Sean Tate, and Sterling Brown are gonna be held out next game for sore elbows."
"He's not wrong. I wasn't expecting him to be so blunt about it, but watching their games he's 100% not wrong. He may have missed camp, partied at strip clubs w/o masks on, but when he stepped on the court he showed up to play and he did. And it wasn't enough. The roster around him doesn't fit either, at least not with his timeline/age. Wood's gonna need more time to develop, Wall looks pretty good for someone coming off so much time off and the injuries, but Boogie's washed. And the rest of the roster just isn't going to get it done. At this point I feel like Jae'Sean Tate is the most promising player they have lol. For this Frankenstein roster to gel and develop, it'll take too much time and Harden doesn't have that much time left."
"Pass probably, but Jae'Sean Tate gave me some hesitation"
Jae'Sean Tate?
"Maybe it's just become repetitive. Now that he's playing w/ Christian Wood, John Wall, and the corpse of Boogie w/ a different coach, it's become interesting again. It also seems like he kinda likes that rookie Jae'Sean Tate kid."
"As currently constructed yeah WCF loss is HOU's realistic ceiling imo.  If they can get an interior defender tho, I think they're a top 5 team in the league no question.  After replenishing draft capital this offseason, they could look to move EG + picks for a big defender, especially if Jae'Sean Tate continues to develop well."
"That's our Aussie Boi (from the US, played in Australia) Jae'sean Tate. Just signed him this year."
Jae'Sean Tate at center lol
Jae'Sean Tate pump faked 3 times in 0.5 seconds
  **Nets @ Rockets**  [](/BKN) **132 -  114** [](/HOU)  **Box Scores: [NBA](http://www.nba.com/games/20210303/BKNHOU#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/brooklyn-nets-houston-rockets-2021030310)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Brooklyn Nets|30|37|34|31|132| |Houston Rockets|27|27|31|29|114|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Brooklyn Nets|132|49-85|57.6%|17-35|48.6%|17-24|70.8%|10|53|33|24|5|14|1| |Houston Rockets|114|38-91|41.8%|18-43|41.9%|20-28|71.4%|12|37|24|18|10|9|5|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Brooklyn Nets|**29** James Harden|**10** DeAndre Jordan|**14** James Harden| |Houston Rockets|**36** John Wall|**10** Jae'Sean Tate|**5** Victor Oladipo|
"How is the best rookie in the NBA, Jae'Sean Tate, not in the Rising Stars game? Curious."
  **Rockets @ Cavaliers**  [](/HOU) **96 -  112** [](/CLE)  **Box Scores: [NBA](http://www.nba.com/games/20210224/HOUCLE#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/houston-rockets-cleveland-cavaliers-2021022405)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Houston Rockets|17|33|24|22|96| |Cleveland Cavaliers|27|21|34|30|112|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Houston Rockets|96|36-90|40.0%|10-33|30.3%|14-17|82.4%|9|33|18|15|8|7|8| |Cleveland Cavaliers|112|43-85|50.6%|16-36|44.4%|10-15|66.7%|11|55|24|20|4|16|10|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Houston Rockets|**20** John Wall|**7** Jae'Sean Tate|**5** Victor Oladipo| |Cleveland Cavaliers|**26** Jarrett Allen|**18** Jarrett Allen|**10** Darius Garland|
"It's really tough to say because like I said, it's a real lost art. If you sort by cutting action frequency, everyone ahead of Bruce Brown is a PF/C (which means their cuts are usually just coming from the paint area while Brown has to time his cuts from way further out usually). Juan Toscano-Anderson caught my eye from watching random Warriors games but I haven't seen enough to know if he's consistently great at it and I have similar observations about Brandon Clarke and Jae'Sean Tate but Warriors, Grizzlies, and Rockets fans can probably really tell it better than I can from watching the occasional League Pass games of each team."
"Robert Covington is the best example, he's so so so good as an help defender for a forward, but on ball he's almost powerless wether it's against guards or power wings.  On the other end of the spectrum guys like OG Anonoby or Lou Dort are absolute lockdown on ball, but not that special as help defenders.  &amp;#x200B;  If I had to do top 5 I'd say on ball (perimeter players only):  1. OG Anunoby 2. Ben Simmons 3. Lou Dort 4. Marcus Smart 5. Kawhi  Off Ball/help defender  1. Smart 2. Simmons 3. Tatum 4. Covington 5. Mikal Bridges  Lebron can be the best off ball defender when he's into it, I won't lie I haven't really watched him enough this season to say how he's been, also possible that Kawhi has slept and I just didn't notice, kudos to Royce O'Neal (on ball), Dejounte Murray (on and off the ball), Thybulle (off ball, didn't include him in the top 5 because he doens't play enough for me, but could be THE best), Jrue (on ball), Kyle Anderson (off ball), Jae'Sean Tate (on ball), Wiggins (on ball).  &amp;#x200B;  I'm sure that I forgot a big name"
"You could also make an undrafted team from that draft of Kendrick Nunn, Duncan Robinson, Kenrich Williams, Jae'Sean Tate and one of Yuta/McLaughlin/Gabriel."
Jae'Sean Tate?
Jae'Sean Tate
Have you heard of my guy Jae'Sean Tate?
"Lamelo was not from Europe. He played in Lithuania, sure, but he was younger then, and underperformed in spotty minutes.  His most recent season had been in the Australian NBL, the same league Jae'Sean Tate was MVP in. Even within that league, which is tricky to evaluate vs college Lamelo didn't shoot well at all"
"It's crazy how teams just skip over guys years into their careers, then when given a shot - show that they're invaluable pieces to a team. Juan was in the G-League for years, Jae'Sean Tate was playing in Sydney Australia while everyone was fawning over Lamelo."
