Jokic Murray MPJ Monte Morris JaMychal Green
"**Pleasant**: Monte Morris. Dude has gotten better every year and in an early season where most outside of Joker are struggling, Monte has been a constant point and play making boost off of the bench. Oh and JaMychal Green is dope.   **Unpleasant**: Everyone else, really. Will and Gary have taken their time getting back in the groove.. Will is more frustrating to watch because his game revolves around having the ball.. Gary as well though because he should be a critical piece in our offense and just... isn't, but we need his defense.  MPJ went and broke protocols so while it's nice he's back missing him for 20 days was annoying.   Facu had a great game yesterday but otherwise was having a rough transition to NBA ball while being undersized.  I didn't really expect Jamal to seriously ascend to All-Stardom, but injuries are making him less impactful than usual.   I've been annoyed with Millsap since the restart. He just isn't a great fit, but as long as he can hit occasional threes he isn't a huge detriment."
"When Jokic was drafted, they called him a power forward. He plays with guys like JaMychal Green who can play 5. Not to mention, Anthony Davis refuses to be called a center. So I think the person who deserves it most should get 1st team regardless, if we’re following last year’s precedent."
"In the Clippers series, the Clippers went really small and took Zubac out, took Montrezl out, and put JaMychal Green at the 5. Malone noticed that Jokic was getting doubled and Murray was getting blitzed frequently, and set up more plays for Harris and Grant.  Defensively, the Nuggets, according to Kawhi Leonard, became more aggressive in their double-teams. Additionally, they adjusted to collapsed the paint paint better on drives. A big part of this was Malone's decision to reign in MPJ, which you may remember was pretty vocal about this at the time. These were some adjustments that were mad that helped them come out of the Clippers series."
Shoutout to Campazzo and JaMychal Green
Don't forget JaMychal Green.
Thank you for Jamychal Green
Jamychal Green said YEET
"Lol nuggets.     JaMychal green is a better shooter, equal defender, and a better rebounder (this one despite playing 15 less minutes per game) than Grant.     Good on Grant for proving he can be a number 1 or 2 option, but acting like the Nuggets would be better off with him instead of Green is a total misread of the situation."
JaMychal Green
for nuggets and laker fans - how are jamychal green and trezz doing?
Jamychal Green has been covering for Jerami's defense and PJ Dozier for Craig's. Defense wasn't a problem in past 10 games until last night. I have a feeling it was fatigue related.
"So many good role players are underrated  JaMychal Green, Bazley, donte, luwau cabarot, hunter"
If only we kept jamychal green
"Not washed, but severely underrated: JaMychal Green."
"&gt; Ibaka has a good playoff history  Sure, back in his prime, but he's not in his prime anymore. If you look at his most recent playoff appearance he was played off the floor against Boston and now he's a year older. Here's why I don't think the Clippers offseason was that great, the way the OP above was saying it was: the Clippers still have the same problem this year that they did last year, in that if Ibaka isn't up to the challenge the way Trez wasn't last year, they have no other option. At least last year the Clippers could theoretically turn to JaMychal Green at center, but he's gone too, replaced with another wing.   Ibaka might be slightly better against Jokic or AD than Trez would have been, but he's primed to still get cooked by both, and if that happens, then what? Last year Boston played Ibaka off the floor with Daniel fucking Theis at center, but you're counting on him to hang with Anthony Davis? Answer me this: if Ibaka can't contain AD, what else can the Clippers do? I don't see Batum, Morris or Kawhi being able to guard him instead.   Batum has been a productive signing for the Clippers, but he's redundant because he's just another wing. The Clippers needed more frontcourt help, and while they did get Ibaka, they lost Green and Trez along the way. They're thinner now at center than they were last year, and you guys are acting like Ibaka is simply the answer. Again, go look at what happened to him last year against Boston and tell me how he's the solution there."
