Willy Hernangomez and Wenyen Gabriel aka Quadruple U
"I'd recommend the Pels as one. Not just because they're the team I support.  Do you like big comebacks, well if you watch the Pels, you'll see it happen at least once a week as the team blows a 20+ point lead.  You like young players? Zion &amp; Ingram are right there.   You like ""funny"" players? Adams is a well-known one, but Josh ""6'5 Center"" Hart and Willy Hernangomez are both incredibly underrated on that front.   And they aren't contenders, but the team still has a chance to make the play-in, so the games do still matter."
  **Celtics @ Pelicans**  [](/BOS) **115 -  120** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20210221/BOSNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/boston-celtics-new-orleans-pelicans-2021022103)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**OT1**|**Total**| |:---|:--|:--|:--|:--|:--|:--| |Boston Celtics|30|33|24|21|7|115| |New Orleans Pelicans|28|19|27|34|12|120|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Boston Celtics|115|39-98|39.8%|10-37|27.0%|27-34|79.4%|11|49|22|30|9|10|11| |New Orleans Pelicans|120|42-94|44.7%|11-36|30.6%|25-37|67.6%|12|52|22|24|5|13|7|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Boston Celtics|**32** Jayson Tatum|**13** Robert Williams III|**9** Jaylen Brown| |New Orleans Pelicans|**33** Brandon Ingram|**13** Willy Hernangomez|**4** Zion Williamson|
Hoping to see Willy Hernangomez break that out next game
"Josh Hart, Willy Hernangomez and Ron Baker"
Youre right. Make Willy Hernangomez the CEO.
"He's a TV personality, isn't being likeable the most important part of the job?  And I doubt fans want to hear their analysis of Willy Hernangomez, but when it's a dude who's the best player on his team and has a ring and am MIP, you would expect shaq to know him."
  **Pelicans @ Mavericks**  [](/NOP) **130 -  143** [](/DAL)  **Box Scores: [NBA](http://www.nba.com/games/20210212/NOPDAL#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-dallas-mavericks-2021021206)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|34|31|36|29|130| |Dallas Mavericks|27|42|39|35|143|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|130|48-90|53.3%|17-37|45.9%|17-23|73.9%|9|38|31|19|5|9|3| |Dallas Mavericks|143|51-88|58.0%|25-45|55.6%|16-21|76.2%|5|37|30|22|4|6|2|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**36** Zion Williamson|**9** Willy Hernangomez|**7** Lonzo Ball| |Dallas Mavericks|**46** Luka Doncic|**8** Luka Doncic|**12** Luka Doncic|
Lonzo Ball &amp; Willy Hernangomez
"BI, Zion, and Lonzo (as of lately) are fine pieces. Adams has been good this year as well. Bledsoe is either the best shooter on the court, or he’s a non factor. His defense has also taken a step back. Our main issues comes with the bench. The bench is just awful. We have no reliable scorer coming off the bench. Arguably our best bench players are Hart and Willy hernangomez. Kira has looked good, but it’s too soon."
Can we talk about how Willy Hernangomez put up a double double too? Have we finally found a backup big man?
Getting me a Willy Hernangomez jersey
"Part of it has to do with how bad the bench bigs have been. I mean, just the fact that Willy Hernangomez has been a significant improvement says a lot, and not in a good way.  I think with this tweaked role and if you get continued defensive activity from Zion, they should revisit some Zion at C stuff for bench units.  But Adams is clearly important overall."
