HERBERT JONES WILL BE AN ALL ROOKIE TEAM PLAYER ON THE CELTICS.   FACT.
"And more….  Biggest gambler: the wheelin', dealin' Chicago Bulls  I discussed the Bulls on last week's Lowe Post podcast, so I'll be brief. I am somewhere in the middle on their raucous offseason. I see a slightly higher ceiling than those cementing them in the play-in tournament in the beefed-up East. Their offense should be really good. Don't overthink the DeMar DeRozan fit just because he shoots long 2s and won't provide pitch-perfect spacing for Zach LaVine, Nikola Vucevic, and Lonzo Ball.  DeRozan has become a good passer; he'll get Vucevic and LaVine easy buckets. Redirecting about 10% of LaVine's game from on-ball creation to off-ball marauding is healthy. DeRozan can create for Chicago's shooters -- including Vucevic -- out of the post too.  DeRozan has more gravity away from the ball than a typical non-threat from deep; he's a cagey mover who can play second-side basketball, and defenses respect his long 2s.  But I wonder if the Bulls can grow into a strong top-four playoff seed over the rest of LaVine's prime, assuming the Bulls re-sign him next summer.  2021 NBA offseason  The NBA's 2021 free-agent signing period has begun, just days after the 2021 NBA draft.  • Latest free agency and trade news and buzz • Pelton: Analyzing every offseason move • Lowe: How the Heat keep doing this • NBA experts: Big surprises and what's next • Grades and details for every trade Building an average defense around LaVine, Vucevic, and DeRozan will be tough. Chicago's under-25 core now consists of Ball, Patrick Williams, and Coby White -- whose role going forward is a little murky. Chicago whiffed on a bunch of swings at young talent before the Jimmy Butler trade, and as part of that deal. (Lauri Markkanen, one of the key players in that trade, hangs in restricted free agency. He doesn't seem long for the Bulls, but maybe they can salvage something in a sign-and-trade.)  Chicago then traded away Wendell Carter Jr. and three future first-round picks for Vucevic and DeRozan -- two of the NBA's ultimate floor-raisers. (The Bulls are kinda Team Raised Floor.)  I like Ball, and I'm super-high long-term on Williams. You'd just like to have a little more in the young-player cupboard after one megatrade and years in purgatory.  That said, LaVine and Alex Caruso are just entering their primes; DeRozan and Vucevic are still in theirs. The Bulls have a nice age-range mix, which should give them at least some wiggle room to change direction if need be.  Winner: the prudent Charlotte Hornets  Charlotte is quietly building a solid team with future flexibility. The Hornets are probably one really good young player from a high-level long-term nucleus -- depending on the development of Miles Bridges and P.J. Washington -- but they are giving themselves avenues to get there.  Acquiring Mason Plumlee and the 37th pick -- JT Thor, signed to a richer version of the ol' Hinkie Special -- in a salary dump was a nice start. Plumlee is not the lob threat the Hornets dream of pairing with LaMelo Ball, but he's a ball mover who will be in the right place on defense (unless he's defending a buzzer-beater against the Lakers.) His $8.5 million deal for 2022-23 is only half guaranteed.  Plumlee is a stopgap, and that's fine. Snaring him prevented any irrationally aggressive trade. Charlotte has kicked the tires on basically every young center -- including Myles Turner of the Indiana Pacers, sources have said -- and they can continue sniffing around from a position of strength.  They jumped into the first round for Kai Jones, and were careful to protect the future pick they sent the Knicks to do so. They gobbled up another future first-round pick for Devonte' Graham, a player they didn't really need with Ball's emergence and Terry Rozier's central role.  (That move does create pressure to re-sign Rozier next summer, which could wipe out near-term cap space. Rozier had a really good season, redeeming Charlotte's decision -- pilloried at the time, including here -- to effectively swap Kemba Walker for him. He's only 27, and the cap space landscape next summer does not look player friendly.)  Kelly Oubre Jr. -- whose $12.6 million salary for 2022-23 is only 40% guaranteed -- should function better in Charlotte than he did in Golden State's motion offense. He provides insurance against another Gordon Hayward injury.  The next big decision is a potential extension for Bridges. He showed last season he is so much more than a dunker: a switchable forward blossoming as a playmaker and 3-point shooter (including off the dribble.) He has a lot to prove before you can pen him in as a high-level starter on a conference finals team, and pending Bridges' ask, the Hornets would be smart to let things play out in restricted free agency.  Washington's extension follows a year later. Ball looks like a future star. The Hornets have to remain nimble around him.   The Pelicans missed on free agent Kyle Lowry, who would've been perfect next to Zion Williamson. That happens. But it's hard to justify the moves made in the aftermath when New Orleans could've just ... kept Lonzo Ball. AP Photo/Gerald Herbert Loser: the New Orleans Pelicans  You can talk me into next season's Pelicans being better with Graham, Tomas Satoransky, Jonas Valanciunas, and Garrett Temple in place of Lonzo Ball, Eric Bledsoe, and Steven Adams. I'm not sure I'd really buy it, and if it ends up true, it'll likely be driven by improvement from holdovers -- including Zion Williamson and Brandon Ingram.  But I doubt New Orleans makes any short-term leap worth moving down 10 spots in the draft to open space for Lowry (whoops!); flinging away two other first-round picks; and losing Ball before his 24th birthday.  Lowry would have been a hand-in-glove fit, and it was not unreasonable for the Pelicans to believe they were one All-Star-level point guard from making a big leap up the standings -- and then one or two lucky breaks from a long playoff run. That was not the most likely outcome, but it was not outlandish. They didn't get Lowry. I'm not privy to their intel, but it clearly was not firm enough.  We know Ball's limitations as a half-court orchestrator. Graham corrects for some of them. He's a more willing off-the-bounce 3-point shooter on the pick-and-roll, though he hit just 29% on pull-up 3s last season and 34% in 2019-20. (Ball has been around 30% on lower volume.) The threat of that shot might open rim runs for Williamson, and steady New Orleans' horrid late-game offense.  Graham has hit 42.5% of his catch-and-shoot 3s over the past two seasons, a few ticks above Ball's mark. A knockdown catch-and-shoot guard is a boon for Point Zion, Post Zion, and every other Zion known to man.  ESPN Daily podcast  Monday through Friday, host Pablo Torre brings you an inside look at the most interesting stories at ESPN, as told by the top reporters and insiders on the planet. Listen Valanciunas is a nominal perimeter threat in a way Adams has never been. But let's not go wild. Valanciunas is not, like, Dirk Nowitzki. He attempted 0.9 3s per game last season. His defender can leave the court, order a beer, and chug half of it in the time it takes Valanciunas to hoist. Valanciunas at heart is a post-up fiend who will clog the lane a lot.  He is a slight step down on defense from Adams. The gap on that end between Ball and Graham -- a very small lead guard -- is pretty big. Graham is a sixth or seventh man on a good team. The Pelicans were bad last year because their defense was bad, without any consistent identity, and they've done little to repair that. (Satoransky and Temple are decent, but they are 15-minute reserves on good teams. The Pelicans did open a big trade exception for use later.)   Satoransky and Valanciunas are free agents after next season. Valanciunas will turn 30 then. Are the Pelicans excited to pay full freight? One potential benefit of these transactions is the Pelicans carrying a large chunk of cap room into next offseason -- the final summer before Williamson's salary balloons. Paying Valanciunas would jeopardize that.  The Pelicans had picks to play with; burning two isn't catastrophic. But it's two fewer to wield in trade talks -- or have leftover after some megadeal -- and it's hard to justify all this rigmarole when the alternative of just keeping Ball was sitting right there.  Winner: the Detroit Pistons  Ditching the 37th pick to dump Plumlee compounded the Pistons sending four (!) second-rounders to the LA Clippers in last season's Luke Kennard/Bruce Brown/Landry Shamet trade -- which netted Detroit Saddiq Bey.  But the rest of this offseason went well. Cade Cunningham might be a franchise player. Three years and $37 million for Kelly Olynyk -- with only $3 million guaranteed in Year 3 -- is fair and movable. Olynyk killed it in his half season in Houston, and was likely getting the midlevel exception from someone. Detroit outbidding that by a couple million is fine. A shooting center opens the floor for Cunningham, Killian Hayes, and the rest of Detroit's young attacking perimeter players -- making every decision easier as they adapt to the NBA."
"The Pelicans did not get worse. They got Jonas Valanciunas who was the grizzlies best player for most of last season. Devonte Graham is still a solid player. They have much more depth than last year by having Satoransky and Temple and another year for other guys to develop.   It may not be a playoff team yet, but I definitely don't think they got worse. I also LOVE their second round pick Herbert Jones. He has the ability to be an impact defender right away."
whats herbert jones measurements compared to torontos boucher?
pelicans with herbert jones and butler from baylor late 2nd!
I have no idea who Herbert Jones is but he sounds like someone we’d draft
They about to draft Herbert Jones
"Quentin Grimes, Ayo Dosunmu, Herbert Jones, Aaron Henry, to name a few."
&gt;Couldn't Be Whiter Division  &gt;   &gt;Jack Anderson  &gt;Charles Bassey  &gt;Herbert Jones  &gt;Matthew Hurt  &gt;John Petty  I'm sorry but David Duke needs to be here for obvious reasons
"He's 23 and just repeated his All Star season's numbers with Zion having the most efficient 27ppg season ever. Zion and BI are absolute stars and pillars. I didn't say runnint back the same team. The team made almost all of the changes they needed this year from last.   JV is in every way imaginable upgrade over Steven Adams. Eric Bledsoe shouldn't be in the NBA and is gone. Whoever replaces him starting NAW, Josh Hart or even Trey Murphy would be an instant upgrade. I liked Lonzo a lot, but there's no denying how good of a pick up Devonte Graham is. He was tied for 7 in the league with ast in just his 2nd year in and can shoot the 3. He's  shot 37.4 percent from 3 the last two seasons combined with 65% of his 13.8 fga coming from 3. Trey Murphy looks like the steak of the draft at 17th. He got all summer league avg 16.3/7/2.8 w 1.8stl 1.3blk on 56/44/100 splits and is 1 of 2 players to be 50/40/90 last season and playes great D.  This team is young. Sorry you want that to occur the same way super team rebuilds do. Naji is 23 and looked great us once he made it into rotation the last part of the season avg 9.7/5.8/3.4  his last 25 games. He has good size and can play d. Nickeil Alexander Walker and BI are 23, Zion is 21, Kira Lewis Jr is 21, Rookie Herbert  Jones who is 22 was All Sec first team, Sec DPOY,  and Sec POY and they got him at 35. They have tons of young developing talent and draft picks.  The Pels missed the play in by 2 games. They lost 17 games by 5 or less and 11 by 3 or less. Not having Bledsoe on the team alone last year would of made this team a playoff team. They hired Willie Green a former player for 12 years as a coach this summer. Greeen is highly praised around the league, won championships as an assistant with GSW from 2016-2019 and went to the WCF last year with Phoenix as an assistant and was highly praised by CP3.  So to act like the Pels are meandering, not making moves, are far off from competing, or are dropping the ball is really just not the case in anyway."
Bro we started fucking herbert jones
