Dennis smith jr revenge tour?
"To be fair there are ""empty stats"" but people just give that label to any player putting up good numbers on a bad team. It should just be reserved for players with low efficiency, high volume stats like Dennis Smith jr who averaged 15/4/5 on a woeful 47%TS or Andre Drummond who is averaging 18/15/3 on 50%TS which for a guy who should just be catching lobs/dunking is awful. Those are truly empty stats because neither player is actually making a meaningful contribution to winning."
Dennis Smith Jr still has PLENTY of game left.  There are more than a few teams that could use him.
"How did they win the trade? Even if they let him go for nothing, that’s better than the trade they did. Dennis Smith Jr did nothing. I’m not gonna even argue if the Mavs won the trade, but the Knicks did NOT win this trade. Seeing some horrible takes on here for karma"
"This is the Dennis Smith Jr BS all over again. He’s flashy for 1 out of every 10 games, and people hype.  There’s 10 players in the NBA with more points on less FGA, meanwhile there’s 0 players with less points on more FGA.  Long story short, he still isn’t a good scorer. I’m sure I’ll get downvoted because this thread probably attracts Knicks fans only, but he’s still not playing well. Maybe in the future, but definitely not now."
Dennis Smith Jr
"IQ is definitely a good bet and a great player I think it’ll be harder for him to actually win it because of the hype around melo, I actually pull for y’all a bit I know Dennis Smith jr. Wasn’t trying to slight IQ"
"Grasping at straws now. Regardless of KP vs Randle, enjoy Dennis Smith Jr, I'm sure he'll get a LOT of great experience in that G-League bubble. We'll enjoy our generational superstar and KP, who will undoubtedly get better this season. I look forward to seeing your username in the threads!"
"Wow you're right, they get Dennis Smith JR (Who is officially now in the G-League) and we got all of their players who allowed us to go to the playoffs and have a great series against the Clippers!"
"I just looked up their draft history. I knew they hadn't hit in awhile but I guess I didn't fully grasp how bad they've been. Four straight years of picks 3-9 and almost nothing to show for it. Then if you consider them trading Porzingis for Dennis Smith Jr, it's really 5 consecutive lost picks between 3-9. Insane (though there is still a chance RJ is a star)."
"Dennis Smith Jr, a Knicks Guard has asked to play for the G-League team due to lack of playing time/develop his skills.  The Knicks have agreed to the request"
Dennis Smith Jr is a myth
What happened to Dennis Smith Jr and Payton?
"Luka was our leader in minutes played his rookie season. Jalen Brunson played 20-30 MPG his rookie year and averaged nearly 10PPG. Dennis Smith Jr. also played nearly 30 MPG his rookie season, even though he was very raw.  Rick has just never really had great rookies, outside of recently, and typically is not one to give unearned minutes."
"After Dennis Smith Jr.’s rookie year I thought he would at least develop into a top starting level point guard; I really loved his game and his attack on the court. Now it looks like he might not even be a serviceable back up, which is crazy with how young and athletic he is at his position"
Even if Dennis Smith Jr were still in Dallas Jalen Brunson would be playing his minutes.
Dennis Smith jr. but now he's fallen into the bust category sadly.
If Dennis Smith Jr can get one so does KD
"We would have taken Wendell Carter JR, which would've given us a superstar lineup of Dennis Smith Jr, Wesley Matthews, Dorian Finney Smith, Harrison Barnes, and WCJ. I'm sure we would've gotten at least 8 wins that year :)"
"I don’t blame him, I mean Burke, a throw in salary match is legitametly better than Dennis Smith Jr.  😂"
Dennis Smith Jr it is
J.Cole name dropped fultz and Dennis Smith jr in the same song
Dennis Smith Jr   Marvin Bagley    Stanley Johnson
"No, he’s quite literally bad. I think even dennis smith JR would make a defense pay when they refuse to guard him."
Dennis “JR Smith” Schroder
"Dennis ""JR Smith"" Schroder"
Dennis “JR Smith” Schroeder
how does one lightly used Dennis Smith Jr. and a 2023 2nd round pick sound?
Dennis Smith Jr. Was super high on him coming out of college. Figured he would be a sure thing.
Dennis smith jr. again...
"Whatever helps you sleep at night  Even if what you're saying was true (it's not), Dallas won the trade anyways considering Hardaway Jr and Burke's value  Have fun with Dennis Smith Jr. and perpetual mediocrity!"
"lmao, THJ and Burke alone won Dallas that trade. We traded a scrub in Dennis Smith Jr. and two late first round draft picks for THJ who is a 16-18 PPG player on 40+% from 3, and Trey Burke who has been incredible for us.   Not to mention we got Kristaps Porziņģis who is a 20/10 guy."
"This was year one when DeAndre Jordan was hitting Luka on the head to take uncontested rebounds &amp; Dennis Smith Jr was moping because Luka is a little better than him at basketball so we had to make moves.   I like our team now, we’ve made good moves. We have 6 key rotation players out today, let’s judge the team on a larger body of work"
He's better than or comparable to:      DJ Augustin   Reggie Jackson     Tre Jones   Yogi Ferrell   Tim Frazier   Dellavedova   Quinn Cook   Chris Clemons   MCW   Brad Wannamaker   Jeff Teague   Dennis Smith Jr   Ish Smith  Cameron Payne   Frank Ntilikina   Raul Neto      go fuck yasself
"It's a valid point but personally I think there's a big difference.   In the example of Dennis Smith Jr, this is a player that got shipped out to... New York. And remember, a player like that still has plenty of opportunity to prove that they deserve to be in the NBA. Whether that be through practice, other players getting injured, or even in garbage time. Because they're still competing against players of the same caliber.   So in my example, let's say a soccer player like Dennis Smith Jr gets shipped out to Saudi Arabia. Well, even if they are still young and even play well in games there's gonna be people who downplay it and say things like ""well the Saudi Arabian league isn't even a top 10 league in the world so he can't play like that against real competition"" or ""he hasn't even broke into his national team yet so he must not be good"". Then the years go by and this is what happened to their career. There's a ton of soccer teams and leagues in the world and trust me, this happens *a lot*.   When you think about soccer, it's such a global sport that you can imagine a single league in the same realm of like A, AA, AAA, and MLB in baseball. Except for instead of 4 there's like 200 each with their own reputation and skill level."
Is wat happened to Dennis Smith Jr in Dallas any different? He was shipped out to ensure luka was the primary ball handler. The yr before he was looked as a good rookie.
And trade Joe Harris for Dennis Smith Jr and sign J.Cole off the waivers
&gt; Bradley Beal will be traded for Dennis smith jr  what is wrong with you lmao
Mavs fans were looking forward to the Dennis Smith Jr. era
Dennis smith jr
It was obvious at draft time too: https://deanondraft.com/2017/06/22/is-dennis-smith-jr-a-loser/
"Wizards have a 93 ORTG when he plays. I.e. the Wizards are the worst offensive team in the league when Westbrook is on the court. Nobody on the Wizards has a lower ORTG apart from Anzejs Pasecniks who has played 6 minutes all season  93 ORTG puts him in good company with players like Marvin Bagley, Dennis Smith Jr and Cole Anthony. Except he's a 12 year veteran and they're all young players on bad teams"
"If the Raptors win, the Warriors should burn all of their championship banners and trade Curry to New York for Dennis Smith Jr."
"In all honesty, THJ was at least worth the protected 1st rounder we owe the Knicks in a few years. That means we got KP for this year's unprotected first rounder, Dennis Smith Jr. and expiring contracts we wouldn't have re-signed anyway.  Even if KP doesn't play more than sixty games a season for the remainder of his contract that's still one hell of a deal"
Tim Hardaway Jr. was at least worth the protected 1st rounder we owe the Knicks in a few years.   That means we got KP for this year's unprotected 1st rounder and Dennis Smith Jr. and nothing more aside from expirings we wouldn't have extended anyway.
There probably are.  A random dude like JJ Barea could put up 20ppg if he was the first option.  Dennis Smith JR put up 15ppg as a rookie and he's one of the worst players in the NBA.
I’d deadass take two of those right now over Dennis Smith Jr.
Rick don’t play no games. Ask Dennis smith jr. Luka and the bunch learned quick
(before tonight's games)  Player | FGA | PTS ------------|---|--- Caris LeVert | 120 | 116 Dillon Brooks | 119 | 118 Markelle Fultz | 104 | 103 Kelly Oubre Jr. | 101 | 84 Devonte' Graham | 99 | 80 Bojan Bogdanović | 94 | 94 Cole Anthony | 76 | 69 Gary Harris | 61 | 56 J.J. Redick | 55 | 49 LaMarcus Aldridge | 54 | 50 Tyus Jones | 54 | 50 Al Horford | 53 | 53 Aaron Holiday | 51 | 46 Tyrese Maxey | 49 | 46 Killian Hayes | 47 | 32 Ish Smith | 46 | 42 Aron Baynes | 45 | 37 Michael Carter-Williams | 44 | 36 Juan Hernangómez | 44 | 44 Derrick Jones Jr. | 44 | 42 Sekou Doumbouya | 39 | 38 Markieff Morris | 31 | 31 James Johnson | 29 | 26 Kendrick Nunn | 29 | 26 Jevon Carter | 28 | 22 Grayson Allen | 27 | 25 Brandon Goodwin | 27 | 26 Anfernee Simons | 27 | 26 Dante Exum | 26 | 23 DeMarcus Cousins | 24 | 23 Furkan Korkmaz | 24 | 18 Aleksej Pokusevski | 21 | 5 Mike Scott | 21 | 21 Terance Mann | 20 | 12 Matisse Thybulle | 19 | 18 Frank Kaminsky | 18 | 17 Lamar Stevens | 18 | 18 Kenrich Williams | 18 | 15 Ed Davis | 17 | 13 Jordan McLaughlin | 17 | 16 Chris Chiozza | 16 | 15 Chandler Hutchison | 16 | 13 Dean Wade | 16 | 12 Gary Clark | 15 | 12 Carsen Edwards | 15 | 13 Jerome Robinson | 15 | 15 Marquese Chriss | 14 | 13 Rodney Hood | 14 | 11 Drew Eubanks | 13 | 9 Nicolò Melli | 13 | 11 Amir Coffey | 12 | 12 De'Anthony Melton | 12 | 8 Aaron Nesmith | 12 | 8 Obi Toppin | 12 | 9 Malachi Flynn | 11 | 0 Draymond Green | 11 | 10 Stanley Johnson | 11 | 7 Adam Mokoka | 11 | 8 Georges Niang | 11 | 8 Bruno Caboclo | 10 | 6 Tremont Waters | 10 | 9 Mfiondu Kabengele | 9 | 5 Derrick White | 9 | 9 Josh Hall | 8 | 3 Elijah Hughes | 8 | 8 Kelan Martin | 8 | 2 Reggie Perry | 8 | 7 Robert Woodard | 8 | 6 Tony Bradley | 7 | 4 Kira Lewis Jr. | 7 | 4 Sean McDermott | 7 | 7 Yuta Watanabe | 7 | 6 Keljin Blevins | 6 | 2 Maurice Harkless | 6 | 3 Trey Lyles | 6 | 5 KZ Okpala | 6 | 5 Cody Zeller | 6 | 6 CJ Elleby | 5 | 4 Isaiah Joe | 5 | 2 Saben Lee | 5 | 4 Miye Oni | 5 | 3 Luka Šamanić | 5 | 4 Dennis Smith Jr. | 5 | 4 Jalen Smith | 5 | 4 Tyrell Terry | 5 | 2 Brodric Thomas | 5 | 5 Dylan Windler | 5 | 3 Bol Bol | 4 | 0 Devon Dotson | 4 | 4 Karim Mané | 4 | 2 Garrison Mathews | 4 | 3 Ty-Shon Alexander | 3 | 0 Terrance Ferguson | 3 | 0 Damian Jones | 3 | 2 Rodions Kurucs | 3 | 3 Darius Miller | 3 | 3 Theo Pinson | 3 | 0 Kostas Antetokounmpo | 2 | 0 Mo Bamba | 2 | 0 DeAndre' Bembry | 2 | 2 Vernon Carey Jr. | 2 | 0 R.J. Hampton | 2 | 2 Luke Kornet | 2 | 2 Nico Mannion | 2 | 0 Sindarius Thornwell | 2 | 2 Jaylen Adams | 1 | 0 Vlatko Čančar | 1 | 0 Torrey Craig | 1 | 0 Cristiano Felício | 1 | 0 Willy Hernangómez | 1 | 1 Nate Hinton | 1 | 0 Markus Howard | 1 | 0 Skylar Mays | 1 | 0 Malik Monk | 1 | 1 E'Twaun Moore | 1 | 0 Juwan Morgan | 1 | 0 Zeke Nnaji | 1 | 0 Anžejs Pasečņiks | 1 | 0 Paul Watson | 1 | 0 Keita Bates-Diop | 0 | 0 Deividas Sirvydis | 0 | 0 Edmond Sumner | 0 | 0
&gt;To ~~improve~~ worsen their PG Depth the Orlando Magic should consider trading for Dennis Smith Jr  Fixed it for you
&gt;improve their PG Depth &gt;  trading for Dennis Smith Jr   pick one
