"2019 Draft Class sorted by Points Per Game, Top Ten.  2019 Draft Class||||||||||||| :--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| Name|Pick|g|m/g|p/g|3/g|r/g|a/g|s/g|b/g|fg%|ft%|to/g Zion Williamson|2019(Pick 1)|18|32.8|23.5|0.2|7.6|2.3|1.1|0.7|.581|.677|2.7 Ja Morant|2019(Pick 2)|7|27.9|20.7|0.9|2.1|7.7|1.0|0.4|.539|.806|3.3	 R.J. Barrett|2019(Pick 3)|22|36.0|17.8|1.0|6.5|3.3|0.8|0.2|.430|.758|2.0 De'Andre Hunter|2019(Pick 4)|18|32.2|17.2|1.7|5.4|2.2|0.9|0.5|.509|.877|1.4 Tyler Herro|2019(Pick 13)|13|34.0|17.0|1.7|6.5|4.2|0.5|0.2|.446|.786|2.9 Darius Garland|2019(Pick 5)|13|32.0|15.6|1.8|2.6|5.5|1.0|0.2|.444|.905|2.8 Coby White|2019(Pick 7)|19|33.9|15.4|2.3|4.8|5.7|0.4|0.1|.407|.867|2.7 Keldon Johnson|2019(Pick 29)|21|30.7|15.0|1.0|7.5|2.2|0.9|0.6|.483|.788|1.5 Brandon Clarke|2019(Pick 21)|15|28.6|13.6|0.6|6.1|1.7|1.1|0.7|.489|.567|0.7 Luguentz Dort|2019(Pick 20)|19|28.8|12.4|2.2|3.3|1.2|0.8|0.3|.433|.780|1.2"
Luka Dort &gt;  Luguentz Doncic
Luguentz Dort and it's not even close. If you pick Luka then you are a causal fan
Hell nah. Best case would be like luguentz dort or something. I'd eat a shoe if iman ever scored more than 15 a game without the injuries. His career ppg high is 9.5 and he had next to 0 offensive skill with a busted jumper.
"&gt; Wiggins’ on-ball defense has opponents shooting 40.0 percent, better than such respected defenders as Oklahoma City’s Luguentz Dort (43.3), Boston’s Jaylen Brown (43.5) and Toronto’s Pascal Siakam (44.0).  &gt; On shots from 15 feet or further, where many wings thrive, the failure rate against Wiggins is 67.4 percent, roughly the same as Los Angeles Lakers star Anthony Davis (67.5) and better than Los Angeles Clippers star Kawhi Leonard (61.4) and Portland’s 3-and-D wing Robert Covington (59.3). The failure rate against Mavericks forward Dorian Finney-Smith, considered a “defensive specialist,” is 63.9."
"Most, not all. I haven't watched the Wizards or Pistons play yet this season.  However:  &gt; Wiggins’ on-ball defense has opponents shooting 40.0 percent, better than such respected defenders as Oklahoma City’s Luguentz Dort (43.3), Boston’s Jaylen Brown (43.5) and Toronto’s Pascal Siakam (44.0).  &gt; On shots from 15 feet or further, where many wings thrive, the failure rate against Wiggins is 67.4 percent, roughly the same as Los Angeles Lakers star Anthony Davis (67.5) and better than Los Angeles Clippers star Kawhi Leonard (61.4) and Portland’s 3-and-D wing Robert Covington (59.3). The failure rate against Mavericks forward Dorian Finney-Smith, considered a “defensive specialist,” is 63.9."
"&gt; Wiggins’ on-ball defense has opponents shooting 40.0 percent, better than such respected defenders as Oklahoma City’s Luguentz Dort (43.3), Boston’s Jaylen Brown (43.5) and Toronto’s Pascal Siakam (44.0).  &gt; On shots from 15 feet or further, where many wings thrive, the failure rate against Wiggins is 67.4 percent, roughly the same as Los Angeles Lakers star Anthony Davis (67.5) and better than Los Angeles Clippers star Kawhi Leonard (61.4) and Portland’s 3-and-D wing Robert Covington (59.3). The failure rate against Mavericks forward Dorian Finney-Smith, considered a “defensive specialist,” is 63.9.  sure"
"&gt; Wiggins’ on-ball defense has opponents shooting 40.0 percent, better than such respected defenders as Oklahoma City’s Luguentz Dort (43.3), Boston’s Jaylen Brown (43.5) and Toronto’s Pascal Siakam (44.0).  &gt; On shots from 15 feet or further, where many wings thrive, the failure rate against Wiggins is 67.4 percent, roughly the same as Los Angeles Lakers star Anthony Davis (67.5) and better than Los Angeles Clippers star Kawhi Leonard (61.4) and Portland’s 3-and-D wing Robert Covington (59.3). The failure rate against Mavericks forward Dorian Finney-Smith, considered a “defensive specialist,” is 63.9."
"""Wiggins’ on-ball defense has opponents shooting 40.0 percent, better than such respected defenders as Oklahoma City’s Luguentz Dort (43.3), Boston’s Jaylen Brown (43.5) and Toronto’s Pascal Siakam (44.0).  On shots from 15 feet or further, where many wings thrive, the failure rate against Wiggins is 67.4 percent, roughly the same as Los Angeles Lakers star Anthony Davis (67.5) and better than Los Angeles Clippers star Kawhi Leonard (61.4) and Portland’s 3-and-D wing Robert Covington (59.3). The failure rate against Mavericks forward Dorian Finney-Smith, considered a “defensive specialist,” is 63.9.""  Also has the highest contest rate for warriors  For all the people in sub wanting to check the stats .He really has had a good start to the campaign"
  **Thunder @ Nuggets**  [](/OKC) **101 -  119** [](/DEN)  **Box Scores: [NBA](http://www.nba.com/games/20210119/OKCDEN#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/oklahoma-city-thunder-denver-nuggets-2021011907)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Oklahoma City Thunder|31|21|22|27|101| |Denver Nuggets|31|34|32|22|119|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Oklahoma City Thunder|101|36-86|41.9%|14-43|32.6%|15-23|65.2%|9|41|22|15|8|19|4| |Denver Nuggets|119|46-105|43.8%|14-42|33.3%|13-14|92.9%|18|58|29|22|11|14|3|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Oklahoma City Thunder|**20** Luguentz Dort|**9** Isaiah Roby|**7** Shai Gilgeous-Alexander| |Denver Nuggets|**27** Nikola Jokic|**12** Paul Millsap|**6** Will Barton|
"As a wing defender I couldn't give you a definitive answer, although Ben Simmons is definitely up there. but on the topic of Lu Dort he seems like he could be comfortable switching to forwards. Luguentz is already elite at covering guards though. The guy looks like he was tailor made for stopping guards. He has good length and is built like a truck (The War Rig from Fury Road, that's the type of truck we're talking about) at 6'4. He fights through screens, doesn't gamble a lot on defense and takes no plays off (coaches must love to see that level of effort in the defensive end) Before seeing him play starter minutes last year I thought he would struggle against shiftier, quicker ball handlers but the guy has elite lateral movement even if he looks like a human fire hydrant. Or a tank. Or both. He does a great job against guards but I haven't seen him guard a lot of forwards, so I wouldn't be sure if he's great at it yet but he definitely has potential there.   So OKC, you have a great player with All Defensive Team chops."
"[Found this article from the Athletic](https://theathletic.com/1040676/2019/06/21/head-scratching-how-did-asus-luguentz-dort-go-undrafted-thursday-night/) (I'll quote some stuff since its paywalled).  Perimeter shooting.  &gt;Although Dort’s touch improved as last season unfolded, he shot just 30.7 percent from 3-point range. Among the eight guards taken in Thursday’s first round, none shot lower than 35.3.   Also, if you were wondering why he wasn't taken in the second round this article also explains that.  &gt;He said they turned down four teams wanting to draft Dort in the mid-to-late second round because they either wanted to draft and stash him overseas or draft him and send him directly to the developmental G League.  As painful as it was, they decided that going undrafted and signing a full two-way contract was the best option, especially considering Oklahoma City’s reputation for player development.   Pretty cool to be honest."
"All-Canada Team is nasty.  * **PG**: Shai Gilgeous-Alexander, Luguentz Dort, Cory Joseph * **SG**: Jamal Murray, RJ Barrett, Nickeil Alexander-Walker * **SF**: Andrew Wiggins, Dillon Brooks, Trey Lyles * **PF**: Chris Boucher, Brandon Clarke, Khem Birch * **C**: Tristan Thompson, Kelly Olynyk, Dwight Powell"
look at luguentz dort man so inspirational
for me and my homies its:  1. Luguentz Dort 2. Luguentz Dort 3. Luguentz Dort 4. Luguentz Dort 5. Luguentz Dort
