Micah Potter didn’t immedietely go to the euroleague? Impressive
Micah Potter Jr?
Didn't Micah Potter play well? Watch someone pick him up
  **Heat @ Hawks**  [](/MIA) **92 -  127** [](/ATL)  **Box Scores: [NBA](http://www.nba.com/games/20211014/MIAATL#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/miami-heat-atlanta-hawks-2021101401)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Miami Heat|17|26|29|20|92| |Atlanta Hawks|33|34|30|30|127|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Miami Heat|92|35-91|38.5%|13-38|34.2%|9-12|75.0%|13|51|23|20|5|18|4| |Atlanta Hawks|127|49-101|48.5%|19-46|41.3%|10-13|76.9%|13|51|33|17|10|11|8|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Miami Heat|**20** Javonte Smart|**16** Micah Potter|**10** Gabe Vincent| |Atlanta Hawks|**27** Trae Young|**11** John Collins|**15** Trae Young|
"You don't even know, we were down by like 15 at 5 minutes left. The starters couldn't buy a bucket all game. Put in the garbage time lineup and they go on a 13-0 run to go up by 1. Micah Potter (PF) got the winning block on the next play on the other end.  Final few minutes were hype as hell."
  **Heat @ Spurs**  [](/MIA) **109 -  105** [](/SAS)  **Box Scores: [NBA](http://www.nba.com/games/20211008/MIASAS#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/miami-heat-san-antonio-spurs-2021100824)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Miami Heat|24|30|24|31|109| |San Antonio Spurs|17|28|32|28|105|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Miami Heat|109|43-94|45.7%|11-33|33.3%|12-16|75.0%|18|53|20|19|7|18|4| |San Antonio Spurs|105|40-88|45.5%|12-36|33.3%|13-19|68.4%|9|39|28|19|8|15|3|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Miami Heat|**28** Max Strus|**17** Micah Potter|**5** Javonte Smart| |San Antonio Spurs|**23** Keldon Johnson|**8** Drew Eubanks|**6** Dejounte Murray|
Finals Winner: Heat  Finals MVP: Jimmy Butler  MVP: Jimmy Butler   DPOY: Bam Adebayo  ROY: Micah Potter  MIP: Tyler Herro
