"Pels bros, who's the dude on your bench lookin' 40 years old? Is that Naji Marshall?"
"Man the team was really starting to click before the injuries, and now we’re whatever this is.  There was a lineup in the 4th that was IT/Naji Marshall/Iwundu/Johnson/Hernangomez and literally only 1 of those players was a full time Pelican 3 weeks ago, and he was riding the bench"
They should sign Naji Marshall in the future as the sole US player and call it the Marshall Plan to make it a true European rebuild.
"No BI or Zion, i wouldn’t mind winning this game tbh just to get the team’s morale back up + we’ve got some wiggle room ahead of Magic &amp; Pistons. I don’t know who Naji Marshall is but I’m glad he’s about to have a breakout game and put up 5 threes at the minimum"
Naji Marshall who dis
  **Pelicans @ Grizzlies**  [](/NOP) **110 -  115** [](/MEM)  **Box Scores: [NBA](http://www.nba.com/games/20210510/NOPMEM#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-memphis-grizzlies-2021051029)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|31|28|29|22|110| |Memphis Grizzlies|36|35|15|29|115|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|110|43-97|44.3%|10-23|43.5%|14-21|66.7%|14|50|29|18|9|12|4| |Memphis Grizzlies|115|45-91|49.5%|9-30|30.0%|16-27|59.3%|10|49|33|17|8|10|19|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**18** Nickeil Alexander-Walker|**11** Naji Marshall|**6** Nickeil Alexander-Walker| |Memphis Grizzlies|**23** Dillon Brooks|**11** Jonas Valanciunas|**12** Ja Morant|
Pels have been the #1 defense in the entire league for the past ~20 games actually if you can believe it. Mainly has to do with Eric Bledsoe finally giving a modicum of effort that reflects his all-defensive reputation and Naji Marshall being given major minutes instead of being chained to the bench like he had been for most of the year.
  **Pelicans @ 76ers**  [](/NOP) **107 -  109** [](/PHI)  **Box Scores: [NBA](http://www.nba.com/games/20210507/NOPPHI#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/new-orleans-pelicans-philadelphia-76ers-2021050720)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |New Orleans Pelicans|21|33|37|16|107| |Philadelphia 76ers|32|38|18|21|109|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |New Orleans Pelicans|107|41-101|40.6%|9-36|25.0%|16-22|72.7%|16|52|26|21|12|10|6| |Philadelphia 76ers|109|38-85|44.7%|15-35|42.9%|18-22|81.8%|10|51|27|19|5|15|6|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |New Orleans Pelicans|**19** Jaxson Hayes|**9** Willy Hernangomez|**5** Naji Marshall| |Philadelphia 76ers|**37** Joel Embiid|**13** Joel Embiid|**10** Ben Simmons|
Naji Marshall #MVP Marvel's Valuable Player    Expecting Zion &amp; Curry to both end up having ridiculous games. Hoping Zion has his first 40 bomb and that we can hold Curry to below 60.
First the Saints get hit with the Nick game then the Pels with the Marvel one.   I hope Naji Marshall wins the equivalent of the Nickelodeon Valuable Player.
Naji Marshall easy
"The guy that was 2-8 from 3? An open shot isnt always a good shot.  I'd rather Zion force something at the hoop then kick it out to a guy who was atrocious from 3 being only down 2 with 1 minute to go.  "" pelicans needed a 3, so it makes no sense to go to Zion cause he can't shoot ""..."" Zion also gets the ball on the very last possession and loses it out of bounds. ""  Thats contradictive...They needed a 3 to tie...So they dont go to him when they needed a 3 with 21 seconds but then a full court heave with 2 seconds on the clock to tie they do?  If you think Naji Marshall is the best option with a minute to go then I dont know what to tell you. Dont really care if hes open...Its not like Zion wasnt getting doubled the entire game."
"The Naji Marshall miss at 1:09 was a pass from zion after he got doubled and naji was wide open.  The misses and makes at 21 and 17 were also wide open 3s on a designed ATO play when the pelicans needed a 3, so it makes no sense to go to Zion cause he can't shoot. Then BI was getting fouled before he could get a shot off and the pelicans still needed 3. So the only arguable one was the BI miss at 46, and that shot literally was half in and half out. Adams gets the oboard on that play.  This complaint doesn't really make sense when the pelicans score on almost every possession. Zion also gets the ball on the very last possession and loses it out of bounds."
"The last Zion shot (or Free Throw) was 1:49 left in the game....Made the score 124-122..This is not what you want to see down the stretch:  1:09 Naji Marshall miss 3  -124-122  46.1 BI miss 3 - 126-122  44.3 Adams makes 1 Free throw - 126-123  21.6 Naji Marshall Misses 3 - 128-123  17.1 Kira Lewis makes 3 128-126  11.4 BI makes both Free throws - 129-128  Feel like you gotta live and die by your best player on the court. I watched the entire game. Kyrie killed it in the last minute, meanwhile the Pelicans didnt feed their best guy."
  **Nets @ Pelicans**  [](/BKN) **134 -  129** [](/NOP)  **Box Scores: [NBA](http://www.nba.com/games/20210420/BKNNOP#/boxscore) &amp; [Yahoo](http://sports.yahoo.com/nba/brooklyn-nets-new-orleans-pelicans-2021042003)**  |**Team**|**Q1**|**Q2**|**Q3**|**Q4**|**Total**| |:---|:--|:--|:--|:--|:--| |Brooklyn Nets|26|31|36|41|134| |New Orleans Pelicans|29|30|33|37|129|  **TEAM STATS**  |**Team**|**PTS**|**FG**|**FG%**|**3P**|**3P%**|**FT**|**FT%**|**OREB**|**TREB**|**AST**|**PF**|**STL**|**TO**|**BLK**| |:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--|:--| |Brooklyn Nets|134|49-89|55.1%|14-37|37.8%|22-28|78.6%|10|44|30|21|7|13|2| |New Orleans Pelicans|129|51-91|56.0%|12-33|36.4%|15-24|62.5%|7|37|28|21|5|13|2|  **TEAM LEADERS**  |**Team**|**Points**|**Rebounds**|**Assists**| |:--|:--|:--|:--| |Brooklyn Nets|**32** Kyrie Irving|**11** Bruce Brown|**8** Landry Shamet| |New Orleans Pelicans|**33** Zion Williamson|**7** Zion Williamson|**7** Naji Marshall|
How is that semantics?  My point is Lonzo has minimal impact on the game and is easily replaceable.  Naji Marshall just had 16/11/6 in his last game replacing Lonzo.  That would be considered a good game from Lonzo and Naji was called up from the G league and has only been with the team a couple of weeks.
