Rick Mahorn (currently 62) and Sekou Doumbouya (turned 20 in December).
random thought but everytime i see sekou doumbouya i read i think ali bomaye
"A ton of 1st round picks that are on the younger end of the spectrum spend a lot of time bouncing up and down between the 2.   For the Pistons last year, Sekou Doumbouya was the youngest player in the entire NBA. He had and still has his flashes of ability, but at 18 years of age he found himself losing confidence and had difficulty adjusting to the NBA style of play. When he went to Grand Rapids for a few days at a time, he played extremely well and learned how to play NBA ball just a little better.   If there was a regular G League season again this year, both him and Killian Hayes would be going back and forth to help them grow faster. Instead we're a little marooned and while Killian is injured Sekou has to learn in real time."
Sekou Doumbouya
"I think his point is that the BKN FO has proven itself competent enough that -- unlike the post-LeBron Cavs -- the Nets likely wouldn't become a total dumpster fire even if all the stars left in their option years. BKN would find some sneaky solid guys in the G League; eat some salaries of guys who are still OK, just overpaid; get some picks that way and get some decent draftees; be well-coached; be in the East; etc., the end result being that they'd suck, but they'd suck in a 12th-pick-in-the-draft way rather than being a favorite for one of those guaranteed top 5 spots. So HOU ends up coming out of it with a Sekou Doumbouya, a Jaxson Hayes, a couple Ty Jeromes, and a Mfiondu Kabengele... for James fucking Harden."
Ah yes the Sekou Doumbouya
I mean tbf he made Sekou Doumbouya delete a picture off IG where he was getting roasted for his bald spot. Not hating just thought it was funny.
(before tonight's games)  Player | FGA | PTS ------------|---|--- Caris LeVert | 120 | 116 Dillon Brooks | 119 | 118 Markelle Fultz | 104 | 103 Kelly Oubre Jr. | 101 | 84 Devonte' Graham | 99 | 80 Bojan Bogdanović | 94 | 94 Cole Anthony | 76 | 69 Gary Harris | 61 | 56 J.J. Redick | 55 | 49 LaMarcus Aldridge | 54 | 50 Tyus Jones | 54 | 50 Al Horford | 53 | 53 Aaron Holiday | 51 | 46 Tyrese Maxey | 49 | 46 Killian Hayes | 47 | 32 Ish Smith | 46 | 42 Aron Baynes | 45 | 37 Michael Carter-Williams | 44 | 36 Juan Hernangómez | 44 | 44 Derrick Jones Jr. | 44 | 42 Sekou Doumbouya | 39 | 38 Markieff Morris | 31 | 31 James Johnson | 29 | 26 Kendrick Nunn | 29 | 26 Jevon Carter | 28 | 22 Grayson Allen | 27 | 25 Brandon Goodwin | 27 | 26 Anfernee Simons | 27 | 26 Dante Exum | 26 | 23 DeMarcus Cousins | 24 | 23 Furkan Korkmaz | 24 | 18 Aleksej Pokusevski | 21 | 5 Mike Scott | 21 | 21 Terance Mann | 20 | 12 Matisse Thybulle | 19 | 18 Frank Kaminsky | 18 | 17 Lamar Stevens | 18 | 18 Kenrich Williams | 18 | 15 Ed Davis | 17 | 13 Jordan McLaughlin | 17 | 16 Chris Chiozza | 16 | 15 Chandler Hutchison | 16 | 13 Dean Wade | 16 | 12 Gary Clark | 15 | 12 Carsen Edwards | 15 | 13 Jerome Robinson | 15 | 15 Marquese Chriss | 14 | 13 Rodney Hood | 14 | 11 Drew Eubanks | 13 | 9 Nicolò Melli | 13 | 11 Amir Coffey | 12 | 12 De'Anthony Melton | 12 | 8 Aaron Nesmith | 12 | 8 Obi Toppin | 12 | 9 Malachi Flynn | 11 | 0 Draymond Green | 11 | 10 Stanley Johnson | 11 | 7 Adam Mokoka | 11 | 8 Georges Niang | 11 | 8 Bruno Caboclo | 10 | 6 Tremont Waters | 10 | 9 Mfiondu Kabengele | 9 | 5 Derrick White | 9 | 9 Josh Hall | 8 | 3 Elijah Hughes | 8 | 8 Kelan Martin | 8 | 2 Reggie Perry | 8 | 7 Robert Woodard | 8 | 6 Tony Bradley | 7 | 4 Kira Lewis Jr. | 7 | 4 Sean McDermott | 7 | 7 Yuta Watanabe | 7 | 6 Keljin Blevins | 6 | 2 Maurice Harkless | 6 | 3 Trey Lyles | 6 | 5 KZ Okpala | 6 | 5 Cody Zeller | 6 | 6 CJ Elleby | 5 | 4 Isaiah Joe | 5 | 2 Saben Lee | 5 | 4 Miye Oni | 5 | 3 Luka Šamanić | 5 | 4 Dennis Smith Jr. | 5 | 4 Jalen Smith | 5 | 4 Tyrell Terry | 5 | 2 Brodric Thomas | 5 | 5 Dylan Windler | 5 | 3 Bol Bol | 4 | 0 Devon Dotson | 4 | 4 Karim Mané | 4 | 2 Garrison Mathews | 4 | 3 Ty-Shon Alexander | 3 | 0 Terrance Ferguson | 3 | 0 Damian Jones | 3 | 2 Rodions Kurucs | 3 | 3 Darius Miller | 3 | 3 Theo Pinson | 3 | 0 Kostas Antetokounmpo | 2 | 0 Mo Bamba | 2 | 0 DeAndre' Bembry | 2 | 2 Vernon Carey Jr. | 2 | 0 R.J. Hampton | 2 | 2 Luke Kornet | 2 | 2 Nico Mannion | 2 | 0 Sindarius Thornwell | 2 | 2 Jaylen Adams | 1 | 0 Vlatko Čančar | 1 | 0 Torrey Craig | 1 | 0 Cristiano Felício | 1 | 0 Willy Hernangómez | 1 | 1 Nate Hinton | 1 | 0 Markus Howard | 1 | 0 Skylar Mays | 1 | 0 Malik Monk | 1 | 1 E'Twaun Moore | 1 | 0 Juwan Morgan | 1 | 0 Zeke Nnaji | 1 | 0 Anžejs Pasečņiks | 1 | 0 Paul Watson | 1 | 0 Keita Bates-Diop | 0 | 0 Deividas Sirvydis | 0 | 0 Edmond Sumner | 0 | 0
"Wood last year only saw the court 25 min/game, and was stuck behind or sharing minutes with Drummond, Griffin, Morris, and even Sekou Doumbouya. That feels more like coaching misconduct than front office troubles."
"Mostly agree, BUT he's only played 2000 minutes in the NBA, and only averaged 21 min/game last year, and averaging \~10 min in a few games in earlier years. He was stuck behind Drummond and Griffin on the depth chart, and somehow they even gave similar minutes to Sekou Doumbouya and Markeiff Morris at the 4/5 slots. In retrospect, it looks like disastrous coaching."
"I've been noticing this for some time. It certainly seems to have become fashionable for a lot of guys to execute their dunks in as plain and routine of a way as possible.   It's hard to argue with guys just wanting to get the job done while utilizing minimal energy and creativity (this is likely big among the ""dunk is only worth two points"" crowd) but as a fan, I totally miss when guys seemed like they were dying to show what they could do to the rim when given the opportunity.   /u/honditar already mentioned so many, but it's pretty wild in hindsight to think back to how many entertaining dunkers there were just a bit over a decade ago.   * Vince Carter  * Kobe Bryant  * Jason Richardson  * LeBron James   * Desmond Mason  * Ricky Davis  * Tracy McGrady  * J.R. Smith  * Stromile Swift  * Steve Francis  * Baron Davis  * Kevin Garnett  * Darius Miles  * Amar'e Stoudemire  * Richard Jefferson  * Gerald Green  * Josh Smith  * Chris Andersen  * Dwyane Wade  Today's game is obviously still amazingly skilled and we're seeing shooting like we've never seen in NBA history but as a lifelong mega fan of the dunk, yeah, I miss it.   As an isolated example, tonight 20-year-old Sekou Doumbouya broke out into the open floor for a completely wide open fast break opportunity. Could have been a windmill, reverse, 360, or even just an emphatic one-handed hammer. Instead, we got slow motion skip step and one of those layup line drop-ins. And again, from a basketball game standpoint, that's totally fine (nice for Sekou to score either way) but I miss the funk."
